,Company number:,NZBN:,Incorporation Date:,Company Status:,Entity type:,Constitution filed:,Ultimate holding company,Company record link:,company_id,address.Registered office address,address.Registered Office,address.Address for service,Directors,FRA Reporting Month:,Country of Origin:,address.Principal place of business in NZ,address.Address of person authorised to accept service in NZ
0,36725,9429040790442,14 Jul 1980,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco36725,36725,,"Official Assignee, 159 Hereford St, Christchurch
, New Zealand",,,,,,
1,1011106,9429037385279,20 Jan 2000,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco1011106,1011106,,"1/77 Jervois Rd, Herne Bay, Auckland
, New Zealand","1/77 Jervois Rd, Herne Bay, Auckland
, New Zealand",Showing 1 of 1 directors,,,,
2,26165,9429040865324,25 May 1972,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco26165,26165,,"3 Cabot Pl, Kingston, Wellington
, New Zealand","3 Cabot Pl, Kingston, Wellington
, New Zealand",Showing 1 of 1 directors,,,,
3,2055067,9429033036755,15 Nov 2007,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco2055067,2055067,,"110 Lichfield Street, Christchurch Central, Christchurch, 8011
, New Zealand","110 Lichfield Street, Christchurch Central, Christchurch, 8011
, New Zealand",Showing 1 of 1 directors,,,,
4,79195,9429040595054,20 May 1970,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco79195,79195,,"Domain Court, 5 Domain Rd, Panmure, Auckland
, New Zealand",,,,,,
5,1965107,9429033250496,11 Jul 2007,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco1965107,1965107,,"25 Quail Drive, Albany, Auckland
, New Zealand","25 Quail Drive, Albany, Auckland
, New Zealand",Showing 2 of 2 directors,,,,
6,56299,9429040703534,18 Dec 1957,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco56299,56299,,"79 Atkinson Ave, Otahuhu, Auckland
, New Zealand",,,,,,
7,1144181,9429036870028,01 Aug 2001,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco1144181,1144181,,"25 Cook Street, Gisborne
, New Zealand","25 Cook Street, Gisborne
, New Zealand",Showing 1 of 1 directors,,,,
8,1525416,9429035332411,17 Jun 2004,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco1525416,1525416,,"15 Hassan Drive, Massey
, New Zealand","15 Hassan Drive, Massey
, New Zealand",Showing 1 of 1 directors,,,,
9,1845391,9429033975962,22 Jul 2006,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco1845391,1845391,,"11 Gerrard Road, Winton, Winton, 9720
, New Zealand","11 Gerrard Road, Winton, Winton, 9720
, New Zealand",Showing 2 of 2 directors,,,,
10,171715,9429040166575,04 Sep 1970,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco171715,171715,,"C/o Kendons, 62 Powderham Street, New Plymouth
, New Zealand","-
, New Zealand",,,,,
11,2236688,9429032279344,08 May 2009,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco2236688,2236688,,"5 Portofina Place, Flat Bush, Auckland, 2016
, New Zealand","5 Portofina Place, Flat Bush, Auckland, 2016
, New Zealand",Showing 1 of 1 directors,,,,
12,76312,9429040609485,31 Mar 1969,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco76312,76312,,"Nile & Forrest Hill Rds, Wairau Valley, Auckland 10
, New Zealand",,,,,,
13,1698446,9429034530757,21 Sep 2005,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco1698446,1698446,,"Level 2 ,20 Pretoria Street, Lower Hutt
, New Zealand","Level 2 ,20 Pretoria Street, Lower Hutt
, New Zealand",Showing 2 of 2 directors,,,,
14,190087,9429040104324,07 Jul 1969,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco190087,190087,,"Touche Ross & Co, 846 Victoria Street, Hamilton
, New Zealand","-
, New Zealand",,,,,
15,1886158,9429033745879,16 Nov 2006,Removed,NZ Limited Company,Yes,No,httpsapp.companiesoffice.govt.nzco1886158,1886158,,"154 Orini Road, Rd 2, Taupiri, 3792
, New Zealand","154 Orini Road, Rd 2, Taupiri, 3792
, New Zealand",Showing 2 of 2 directors,,,,
16,6237827,9429045962264,16 Feb 2017,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco6237827,6237827,,"SHARMAS ACCOUNTANTS LTD, 528 Massey Road, Mangere, Manukau, 2022
, New Zealand","SHARMAS ACCOUNTANTS LTD, 528 Massey Road, Mangere, Manukau, 2022
, New Zealand",Showing 1 of 1 directors,,,,
