,Company number:,NZBN:,Incorporation Date:,Company Status:,Entity type:,Constitution filed:,Ultimate holding company,Directors,Company record link:,company_id,address.Registered office address,address.Registered Office,address.Address for service,Country of Origin:,FRA Reporting Month:,address.Principal place of business in NZ,address.Address of person authorised to accept service in NZ
0,809562,9429038315367,22 May 1996,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco809562,809562,,"39 Perry Street, Masterton
, New Zealand","39 Perry Street, Masterton
, New Zealand",,,,
1,1318359,9429035951759,10 Jun 2003,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1318359,1318359,,"R387 Ohauiti Rd, Ohauiti, Rd3, Tauranga
, New Zealand","R387 Ohauiti Rd, Ohauiti, Rd3, Tauranga
, New Zealand",,,,
2,1927304,9429033489933,18 Apr 2007,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1927304,1927304,,"Unit 1a, 129 Onewa Road, Northcote, North Shore City, 0627
, New Zealand","Unit 1a, 129 Onewa Road, Northcote, North Shore City, 0627
, New Zealand",,,,
3,894391,9429037914264,16 Feb 1998,Removed,Overseas NonASIC Company,No,,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco894391,894391,,,,Australia,June,"6/197 Mongomerie Road, Mangere, Auckland
,","Care OF, C/- Markhams Auckland, 6th Floor 369 Queen Street, Auckland
, New Zealand"
4,3175025,9429031337939,28 Oct 2010,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco3175025,3175025,,"27 Waione Street, Petone, Lower Hutt, 5012
, New Zealand","27 Waione Street, Petone, Lower Hutt, 5012
, New Zealand",,,,
5,1274788,9429036136063,12 Feb 2003,Removed,NZ Limited Company,Yes,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1274788,1274788,,"Level 1, 4 Vinery Lane, Whangarei
, New Zealand","Level 1, 4 Vinery Lane, Whangarei
, New Zealand",,,,
6,1729358,9429034426906,30 Nov 2005,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1729358,1729358,,"Edward Christian & Co Limited, 324-326 Jackson Street, Petone, Lower Hutt, 5012
, New Zealand","Edward Christian & Co Limited, 324-326 Jackson Street, Petone, Lower Hutt, 5012
, New Zealand",,,,
7,437994,9429039312242,19 Jun 1989,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco437994,437994,,"445 Remuera Road, Remuera
, New Zealand",,,,,
8,1859741,9429033901473,29 Aug 2006,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1859741,1859741,,"Hogans Limited, Chartered Accountants, 22-24 Victoria Street, Cambridge
, New Zealand","Hogans Limited, Chartered Accountants, 22-24 Victoria Street, Cambridge
, New Zealand",,,,
9,5949287,9429042282617,07 Apr 2016,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco5949287,5949287,,"Apartment 1616, 26 Albert Street, Auckland Central, Auckland, 1010
, New Zealand","Apartment 1616, 26 Albert Street, Auckland Central, Auckland, 1010
, New Zealand",,,,
10,1559448,9429035166016,23 Sep 2004,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1559448,1559448,,"Unit 110, 125 Custom Street West, Auckland
, New Zealand","Unit 110, 125 Custom Street West, Auckland
, New Zealand",,,,
11,1197232,9429036574667,25 Mar 2002,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1197232,1197232,,"14 Kelkirk Street, Kelston, Auckland
, New Zealand","14 Kelkirk Street, Kelston, Auckland
, New Zealand",,,,
12,626716,9429038701221,29 Mar 1994,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco626716,626716,,"10 Mark Edward Drive, Bucklands Beach, Auckland
, New Zealand","10 Mark Edward Drive, Bucklands Beach, Auckland
, New Zealand",,,,
13,2383667,9429031712118,25 Jan 2010,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2383667,2383667,,"200 Main Highway Ellerslie, Auckland
, New Zealand","200 Main Highway Ellerslie, Auckland
, New Zealand",,,,
14,93001,9429040496313,11 Nov 1974,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco93001,93001,,"Rowe & Williams, 413 Pollen Street, Thames
, New Zealand",,,,,
15,2312128,9429031972529,28 Aug 2009,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2312128,2312128,,"Unit 7, 38 Andromeda Crescent, East Tamaki, Manukau, 2013
, New Zealand","Unit 7, 38 Andromeda Crescent, East Tamaki, Manukau, 2013
, New Zealand",,,,
16,3741098,9429030766853,02 Mar 2012,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco3741098,3741098,,"83b Owens Road, Epsom, Auckland, 1023
, New Zealand","83b Owens Road, Epsom, Auckland, 1023
, New Zealand",,,,
17,2191368,9429032475302,21 Nov 2008,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2191368,2191368,,"Haven Accounting Services Limited, 509a Rosebank Road, Avondale, Auckland, 1026
, New Zealand","Haven Accounting Services Limited, 509a Rosebank Road, Avondale, Auckland, 1026
, New Zealand",,,,
18,6282518,9429046126993,12 May 2017,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco6282518,6282518,,"26 Kilham Avenue, Northcote, Auckland, 0627
, New Zealand","26 Kilham Avenue, Northcote, Auckland, 0627
, New Zealand",,,,
19,4088258,9429030458321,01 Nov 2012,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco4088258,4088258,,"20 Abraham Place, Saint Johns, Auckland, 1072
, New Zealand","20 Abraham Place, Saint Johns, Auckland, 1072
, New Zealand",,,,
20,3258109,9429031230797,03 Feb 2011,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco3258109,3258109,,"Keith Yardley Accountants, 315 Manchester Street, Christchurch Central, Christchurch, 8013
, New Zealand","Keith Yardley Accountants, 315 Manchester Street, Christchurch Central, Christchurch, 8013
, New Zealand",,,,
21,2267261,9429032191141,01 Jul 2009,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco2267261,2267261,,"153 Waimairi Road, Christchurch
, New Zealand","153 Waimairi Road, Christchurch
, New Zealand",,,,
22,4152078,9429030415720,05 Dec 2012,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco4152078,4152078,,"64b Saddle, Pinehill, North Shore City, 0632
, New Zealand","64b Saddle, Pinehill, North Shore City, 0632
, New Zealand",,,,
23,5723867,9429041796849,11 Jun 2015,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco5723867,5723867,,"YOUNG & SUCCESS LIMITED, Unit 9, 41 Sir William Pickering Drive, Burnside, Christchurch, 8053
, New Zealand","YOUNG & SUCCESS LIMITED, Unit 9, 41 Sir William Pickering Drive, Burnside, Christchurch, 8053
, New Zealand",,,,
24,2107979,9429032855357,19 Mar 2008,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2107979,2107979,,"41 Shortland Street, Avondale, Christchurch
, New Zealand","41 Shortland Street, Avondale, Christchurch
, New Zealand",,,,
25,2441134,9429031610643,26 Mar 2010,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco2441134,2441134,,"Unit 31, 88 Cook Street, Auckland
, New Zealand","Unit 31, 88 Cook Street, Auckland
, New Zealand",,,,
26,4816719,9429041010679,10 Dec 2013,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco4816719,4816719,,"GILLIGAN SHEPPARD CHARTERED ACCOUNTANTS, 4th Floor, Smith & Caughey Building, 253 Queen Street, Auckland, 1141
, New Zealand","GILLIGAN SHEPPARD CHARTERED ACCOUNTANTS, 4th Floor, Smith & Caughey Building, 253 Queen Street, Auckland, 1141
, New Zealand",,March,,
27,6227393,9429045946516,13 Feb 2017,Removed,NZ Limited Company,No,BEC GROUP LIMITED,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco6227393,6227393,,"O'FEE AND ASSOCIATES LIMITED, 12 Victoria Avenue, Palmerston North, Palmerston North, 4410
, New Zealand","O'FEE AND ASSOCIATES LIMITED, 12 Victoria Avenue, Palmerston North, Palmerston North, 4410
, New Zealand",,,,
28,651867,9429038590269,22 Jun 1995,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco651867,651867,,"3 Smarts Drive, Leithfield Beach, North Canterbury
, New Zealand","3 Smarts Drive, Leithfield Beach, North Canterbury
, New Zealand",,,,
29,1922955,9429033518732,05 Apr 2007,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1922955,1922955,,"Level 6, 57 Symonds Street, Grafton, Auckland, 1140
, New Zealand","Level 6, 57 Symonds Street, Grafton, Auckland, 1140
, New Zealand",,,,
30,1605588,9429034923528,23 Feb 2005,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1605588,1605588,,"102 Balmoral Road, Mt. Eden, Auckland
, New Zealand","440 Khyber Pass Road, Newmarket, Auckland
, New Zealand",,,,
31,1477350,9429035570592,28 Jan 2004,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1477350,1477350,,"1 Khaleel Place, Henderson, Auckland
, New Zealand","1 Khaleel Place, Henderson, Auckland
, New Zealand",,,,
32,7002974,9429047014565,11 Sep 2018,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco7002974,7002974,,"4 Ara Kakara Avenue, Huapai, Kumeu, 0810
, New Zealand","4 Ara Kakara Avenue, Huapai, Kumeu, 0810
, New Zealand",,,,
33,2386273,9429031704977,13 Jan 2010,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2386273,2386273,,"56 Roberts Road, Glenfield, Northshore City
, New Zealand","56 Roberts Road, Glenfield, Northshore City
, New Zealand",,,,
34,1373319,9429035828235,12 Aug 2003,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1373319,1373319,,"L & Y Graphic Limited, 8 Highwic Avenue, Epsom, Auckland, 1051
, New Zealand","L & Y Graphic Limited, 8 Highwic Avenue, Epsom, Auckland, 1051
, New Zealand",,,,
35,1156652,9429036801213,14 Aug 2001,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1156652,1156652,,"59 Frank Nobilo Dr, Auckland
, New Zealand","59 Frank Nobilo Dr, Auckland
, New Zealand",,,,
36,1270147,9429036163717,22 Jan 2003,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1270147,1270147,,"C/-meltzer Mason Heath, Level 16, 7 City Road, Auckland
, New Zealand","C/-meltzer Mason Heath, Level 16, 7 City Road, Auckland
, New Zealand",,,,
37,1146737,9429036856336,07 Aug 2001,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1146737,1146737,,"Coleman Accountants Limited, 98 Aorangi Street, Feilding, Manawatu
, New Zealand","Coleman Accountants Limited, 98 Aorangi Street, Feilding, Manawatu
, New Zealand",,,,
38,813282,9429038298646,12 Jun 1996,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco813282,813282,,"Cathy Tolley, Ilumin, L 1, 79 Taranaki Street, Te Aro, Wellington, 6011
, New Zealand","Cathy Tolley, Ilumin, L 1, 79 Taranaki Street, Te Aro, Wellington, 6011
, New Zealand",,,,
39,2137131,9429032720808,03 Jun 2008,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2137131,2137131,,"56a Normans Hill Rd, Onehunga, Auckland
, New Zealand","56a Normans Hill Rd, Onehunga, Auckland
, New Zealand",,,,
40,1774641,9429034280171,03 Mar 2006,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1774641,1774641,,"32 Greenpark Road, Penrose, Auckland, 1061
, New Zealand","32 Greenpark Road, Penrose, Auckland, 1061
, New Zealand",,,,
