,company_id
0,278694
1,89915
2,4162
3,195729
4,1613253
5,109065
6,75183
7,155149
8,194303
9,74124
10,111946
11,19320
12,1274577
13,101829
14,1215565
15,192321
16,924905
17,111641
18,611674
19,1276239
20,2232756
21,72129
22,1418921
23,145834
24,1038872
25,157234
26,1985750
27,4826639
28,194623
29,4901140
30,67643
31,121404
32,83951
33,87445
34,698535
35,1963711
36,1124524
37,576850
38,2359862
39,1350343
40,1282522
41,28888
42,258451
43,31704
44,146448
45,9566
46,242864
47,4715579
48,4411418
49,2227246
50,4757759
51,4772259
52,2174787
53,2412151
54,126474
55,247280
56,635232
57,5661828
58,125586
59,815150
60,812472
61,60359
62,136875
63,77061
64,124245
65,2216626
66,1613566
67,63718
68,2067402
69,2182245
70,1609634
71,49760
72,187679
73,64765
74,18577
75,2318709
76,28295
77,1241550
78,123909
79,3417933
80,1669066
81,87452
82,1250690
83,190863
84,1592310
85,71006
86,147020
87,177300
88,1918220
89,1851927
90,1887022
91,159701
92,1046493
93,1823889
94,934455
95,7115854
96,866964
97,130216
98,1369383
99,203850
100,1678087
101,5450907
102,124769
103,9474
104,886416
105,1306817
106,930285
107,7113733
108,147664
109,125307
110,643068
111,3455271
112,7386
113,6340159
114,193645
115,75188
116,57883
117,1016764
118,625105
119,10040
120,5952225
121,1937263
122,909638
123,72829
124,460400
125,881281
126,60726
127,4462719
128,2105258
129,161020
130,127382
131,100506
132,1263291
133,2313728
134,1480564
135,8397
136,1051827
137,90518
138,59165
139,1367961
140,126316
141,1014513
142,81941
143,958237
144,1033096
145,1018042
146,86015
147,1047019
148,144050
149,1107569
150,2442951
151,1480688
152,1928756
153,3377936
154,168255
155,27258
156,5997193
157,90883
158,449113
159,197304
160,5719695
161,198661
162,164258
163,471083
164,1133235
165,3824
166,1398787
167,155385
168,1181585
169,1195493
170,1944152
171,971315
172,158451
173,4153
174,125281
175,692018
176,189558
177,187520
178,4005320
179,1479298
180,123910
181,68417
182,177896
183,897910
184,1746052
185,63407
186,145357
187,5461109
188,5036
189,72662
190,6527552
191,18075
192,115356
193,117959
194,1157106
195,1468993
196,246206
197,654078
198,67306
199,106591
200,1062453
201,191387
202,1242003
203,1019282
204,5324201
205,3564533
206,4294978
207,1410659
208,7916
209,98839
210,1192796
211,194961
212,10462
213,1973827
214,162207
215,197246
216,1509139
217,1307676
218,172618
219,30560
220,178114
221,2386228
222,3365752
223,1219584
224,168005
225,486261
226,183783
227,44858
228,1275847
229,45655
230,1247644
231,6895953
232,71978
233,30400
234,196535
235,1933908
236,162367
237,111765
238,6975433
239,21161
240,196157
241,166185
242,152036
243,37920
244,54898
245,635793
246,1210601
247,126502
248,395641
249,1952763
250,42953
251,61820
252,83903
253,201668
254,6056848
255,6404472
256,5697031
257,965367
258,186508
259,145982
260,1566459
261,6768413
262,28736
263,428273
264,1074584
265,45553
266,1110120
267,186558
268,183429
269,302353
270,9866
271,169938
272,1602776
273,46416
274,110665
275,11312
276,1287587
277,145492
278,117410
279,145408
280,113021
281,192616
282,187932
283,614733
284,187718
285,52807
286,14071
287,1823512
288,8190632
289,71286
290,2181107
291,2392
292,50136
293,6277
294,984732
295,2124710
296,3848776
297,152693
298,56610
299,380821
300,38470
301,6780515
302,119904
303,148346
304,75725
305,1476894
306,192381
307,12300
308,8351461
309,881891
310,181003
311,1907069
312,2105540
313,1886444
314,6666854
315,1953309
316,862713
317,123573
318,2516
319,127761
320,174851
321,102976
322,1777568
323,456852
324,163567
325,181339
326,875606
327,1608042
328,74377
329,127441
330,120954
331,1136964
332,153075
333,190403
334,160846
335,69227
336,1541454
337,2238992
338,63375
339,196610
340,927594
341,64346
342,1541233
343,193806
344,935181
345,78595
346,1106687
347,53097
348,56206
349,127999
350,127271
351,900397
352,1875852
353,50146
354,150394
355,37279
356,208898
357,1237286
358,2403394
359,1567700
360,6885415
361,341371
362,729
363,1177928
364,7716
365,64203
366,1849993
367,909493
368,103682
369,176731
370,1676112
371,56595
372,1128490
373,5968607
374,1726108
375,1285963
376,6161727
377,4732299
378,20699
379,1365194
380,70864
381,1419932
382,1875853
383,1875601
384,2139872
385,133412
386,9051
387,87120
388,1283
389,19712
390,125757
391,3530151
392,55355
393,1192640
394,899282
395,101154
396,94242
397,154042
398,146506
399,45619
400,178266
401,69084
402,1261873
403,127955
404,119019
405,56702
406,160398
407,153623
408,63692
409,6099608
410,715606
411,177070
412,3600791
413,3723753
414,148715
415,148903
416,966173
417,77130
418,80947
419,3899356
420,143118
421,56723
422,1241802
423,27339
424,1242822
425,1194839
426,464025
427,8064176
428,960663
429,174245
430,163915
431,165334
432,56052
433,5652970
434,2490419
435,7389857
436,7740676
437,186197
438,180419
439,921395
440,7745857
441,23507
442,162531
443,186429
444,1962814
445,160407
446,108309
447,8072176
448,6315348
449,1969227
450,1904712
451,6181408
452,5846676
453,190995
454,156651
455,127286
456,24515
457,200905
458,6319927
459,51892
460,145051
461,10749
462,76654
463,466837
464,611552
465,11100
466,8183823
467,6976054
468,10745
469,1144255
470,197675
471,1222193
472,194815
473,182322
474,604164
475,22594
476,124438
477,191830
478,2097707
479,192150
480,162625
481,1158785
482,1440889
483,1026998
484,3765996
485,3810596
486,2308858
487,201657
488,958386
489,244301
490,5006860
491,131212
492,1543648
493,43658
494,45420
495,7315356
496,166474
497,192189
498,155618
499,147880
500,141088
501,200376
502,1447243
503,636329
504,2390955
505,3039030
506,872375
507,386129
508,79614
509,3588811
