,Company number:,NZBN:,Incorporation Date:,Company Status:,Entity type:,Constitution filed:,Ultimate holding company,Company record link:,company_id,address.Registered office address,address.Registered Office,address.Address for service,Directors,FRA Reporting Month:
0,5589,9429040961170,11 Feb 1948,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco5589,5589,,"69 Rutherford Street, Lower Hutt
, New Zealand",,,
1,886887,9429037948719,02 Dec 1997,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco886887,886887,,"7 Simmonds Crescent, Rotorua
, New Zealand","7 Simmonds Crescent, Rotorua
, New Zealand",Showing 1 of 1 directors,
2,62673,9429040678849,07 Mar 1962,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco62673,62673,,"17 Hall St, Pukekohe
, New Zealand","17 Hall St, Pukekohe
, New Zealand",Showing 2 of 3 directors,
3,49586,9429040728780,28 Apr 1952,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco49586,49586,,"16 Elliott St, Papakura, Auckland
, New Zealand",,,
4,1772708,9429034286852,14 Mar 2006,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco1772708,1772708,,"Vogue House, First Floor, 9 Prince Avenue, Mount Maunganui
, New Zealand","Vogue House, First Floor, 9 Prince Avenue, Mount Maunganui
, New Zealand",Showing 2 of 3 directors,
5,76122,9429040611594,07 Mar 1969,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco76122,76122,,"Flr 3 15 Augustus Tce, Auckland 1
, New Zealand",,,
6,120051,9429032000771,28 May 1973,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco120051,120051,,"Lake Timara, Dog Point Road, Blenheim
, New Zealand",,,
7,98360,9429040454955,25 Jun 1976,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco98360,98360,,"57 Patons Road, Howick
, New Zealand",,,
8,1344668,9429035894339,04 Jul 2003,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco1344668,1344668,,"Nairn Fisher Ltd, 1268 Arawa Street, Rotorua
, New Zealand","Nairn Fisher Ltd, 1268 Arawa Street, Rotorua
, New Zealand",Showing 1 of 1 directors,
9,175343,9429040149493,05 Mar 1948,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco175343,175343,,"38 Hinemoa St, Rotorua
, New Zealand",,,
