,Company number:,NZBN:,Incorporation Date:,Company Status:,Entity type:,Constitution filed:,Ultimate holding company,Directors,Company record link:,company_id,address.Registered office address,address.Registered Office,address.Address for service,Country of Origin:,address.Principal place of business in NZ,address.Address of person authorised to accept service in NZ,Receiver:,Organisation:,Phone:,Email:,Appointed:,Brief description of propertyin receivership:,ACN Number:,FRA Reporting Month:,Reports
0,1359724,9429035854371,30 Jul 2003,Removed,NZ Limited Company,No,No,Showing 2 of 3 directors,httpsapp.companiesoffice.govt.nzco1359724,1359724,,"249a Archers Road, Wairau Valley, Auckland, 0627
, New Zealand","249a Archers Road, Wairau Valley, Auckland, 0627
, New Zealand",,,,,,,,,,,,
1,4737579,9429030007048,25 Oct 2013,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco4737579,4737579,,"668a Beach Road, Browns Bay, Auckland, 0630
, New Zealand","668a Beach Road, Browns Bay, Auckland, 0630
, New Zealand",,,,,,,,,,,,
2,824615,9429038245176,17 Sep 1996,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco824615,824615,,"97-101 Hobson Street, Auckland 1
, New Zealand","Same As Registered Office Address
, New Zealand",,,,,,,,,,,,
3,592371,9429038834578,13 Aug 1993,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco592371,592371,,"Mckee & Paino, 9 Francis Place, Wellington
, New Zealand",,,,,,,,,,,,,
4,6058272,9429042489504,29 Jul 2016,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco6058272,6058272,,"Kotin Ma, 20 Danica Esplanade, Te Atatu Peninsula, Auckland, 0610
, New Zealand","Kotin Ma, 20 Danica Esplanade, Te Atatu Peninsula, Auckland, 0610
, New Zealand",,,,,,,,,,,,
5,15354,9429040919133,24 Jun 1963,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco15354,15354,,"Cnr Barraud &, Denmark St, Dannevirke
, New Zealand","Cnr Barraud &, Denmark St, Dannevirke
, New Zealand",,,,,,,,,,,,
6,182680,9429040132457,13 Nov 1959,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco182680,182680,,"Stubbs Dougherty & Co, Hikurangi House, Miriama St, Taumarunui
, New Zealand","Stubbs Dougherty & Co, Hikurangi House, Miriama St, Taumarunui
, New Zealand",,,,,,,,,,,,
7,818605,9429038272462,17 Jul 1996,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco818605,818605,,"417 Port Underwood Road, Rd 1, Picton
, New Zealand","417 Port Underwood Road, Rd 1, Picton
, New Zealand",,,,,,,,,,,,
8,1045318,9429037212056,29 Jun 2000,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1045318,1045318,,"23 Empire Street, Cambridge
, New Zealand","23 Empire Street, Cambridge
, New Zealand",,,,,,,,,,,,
9,628,9429040974712,17 Sep 1901,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco628,628,,"127 Queens Drive, Lower Hutt
, New Zealand",,,,,,,,,,,,,
10,35449,9429040806174,01 May 1979,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco35449,35449,,"33 Coleman Place, Palmerston North
, New Zealand",,,,,,,,,,,,,
11,858883,9429038079849,21 May 1997,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco858883,858883,,"8 Reybert Place, Royal Heights, Auckland
, New Zealand","8 Reybert Place, Royal Heights, Auckland
, New Zealand",,,,,,,,,,,,
12,1883126,9429033765860,15 Nov 2006,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1883126,1883126,,"Ashton Wheelans & Hegan Limited, 6 Lancaster Street, Waltham, Christchurch, 8011
, New Zealand","Ashton Wheelans & Hegan Limited, 6 Lancaster Street, Waltham, Christchurch, 8011
, New Zealand",,,,,,,,,,,,
13,1706842,9429034504031,06 Oct 2005,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1706842,1706842,,"634 Mount Eden Road, Mount Eden, Auckland, 1024
, New Zealand","634 Mount Eden Road, Mount Eden, Auckland, 1024
, New Zealand",,,,,,,,,,,,
14,1616918,9429034854754,30 Mar 2005,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1616918,1616918,,"C/-archibald & Associates, Cnr East & Elliott Streets, Papakura
, New Zealand","C/-archibald & Associates, Cnr East & Elliott Streets, Papakura
, New Zealand",,,,,,,,,,,,
15,1291874,9429036034499,15 Apr 2003,Removed,NZ Limited Company,Yes,No,Showing 2 of 3 directors,httpsapp.companiesoffice.govt.nzco1291874,1291874,,"211-213 Great South Road, Papakura Auckland
, New Zealand","21-213 Great South Road, Papakura, Auckland
, New Zealand",,,,,,,,,,,,
16,1000441,9429037440640,29 Nov 1999,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1000441,1000441,,"291 Madras Street, Christchurch
, New Zealand","291 Madras Street, Christchurch
, New Zealand",,,,,,,,,,,,
17,1275357,9429036131433,13 Feb 2003,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1275357,1275357,,"Natax Limited, Vogel Street, Palmerston North
, New Zealand","Natax Limited, Vogel Street, Palmerston North
, New Zealand",,,,,,,,,,,,
18,1570756,9429035108467,08 Nov 2004,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1570756,1570756,,"Walton Railton & Co Limited, 415 Cameron Road, Tauranga, 3110
, New Zealand","Walton Railton & Co, 415 Cameron Road, Tauranga, 3110
, New Zealand",,,,,,,,,,,,
19,73555,9429040623078,25 Oct 1967,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco73555,73555,,"C/- Mcclintock & Co, 90 Red Beach Road, Orewa
, New Zealand","90 Read Beach Road, Orewa
, New Zealand",,,,,,,,,,,,
