,Company number:,NZBN:,Incorporation Date:,Company Status:,Entity type:,Constitution filed:,Ultimate holding company,Directors,Company record link:,company_id,address.Registered office address,address.Registered Office,address.Address for service,Receiver:,Organisation:,Phone:,Email:,Appointed:,Brief description of propertyin receivership:,Reports,FRA Reporting Month:
0,1209631,9429036501823,07 May 2002,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1209631,1209631,,"Level 2, 315 Manchester Street, Christchurch
, New Zealand","Level 2, 315 Manchester Street, Christchurch
, New Zealand",,,,,,,,
1,1285021,9429036073641,20 Mar 2003,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1285021,1285021,,"1/364 Bucklands Beach Road, Bucklands Beach, Auckland
, New Zealand","1/364 Bucklands Beach Road, Bucklands Beach, Auckland
, New Zealand",,,,,,,,
2,1859120,9429033902951,28 Aug 2006,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1859120,1859120,,"6 Cracroft Street, Parnell, Auckland, 1052
, New Zealand","6 Cracroft Street, Parnell, Auckland, 1052
, New Zealand",,,,,,,,
3,8348780,9429050502882,19 Apr 2022,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco8348780,8348780,,"Pacifica, 10 Commerce Street, Auckland Central, Auckland, 1010
, New Zealand","Pacifica, 10 Commerce Street, Auckland Central, Auckland, 1010
, New Zealand",,,,,,,,
4,979669,9429037481452,27 Oct 1999,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco979669,979669,,"Kennedy & Associates CA Ltd, 112 Rimu Road, Paraparaumu, Wellington, 5032
, New Zealand","Kennedy & Associates CA Ltd, 112 Rimu Road, Paraparaumu, Wellington, 5032
, New Zealand",,,,,,,,
5,1016049,9429037361532,16 Feb 2000,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1016049,1016049,,"Gardiner Knobloch Limited, 1st Floor, Wilket House, Shakespeare Road, Napier
, New Zealand","Gardiner Knobloch Limited, 1st Floor, Wilket House, Shakespeare Road, Napier
, New Zealand",,,,,,,,
6,1911073,9429033594897,16 Feb 2007,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1911073,1911073,,"C/- Pricewaterhousecoopers, Level 16, 113-119 The Terrace, Wellington, 6140
, New Zealand","C/- Pricewaterhousecoopers, Level 16, 113-119 The Terrace, Wellington, 6140
, New Zealand",,,,,,,,
7,5423601,9429041365205,22 Aug 2014,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco5423601,5423601,,"45 Ludlam Crescent, Woburn, Lower Hutt, 5010
, New Zealand","45 Ludlam Crescent, Woburn, Lower Hutt, 5010
, New Zealand",,,,,,,,
8,2121882,9429032783247,03 Jun 2008,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2121882,2121882,,"42 Coolspring Way, Redwood, Christchurch, 8051
, New Zealand","42 Coolspring Way, Redwood, Christchurch, 8051
, New Zealand",,,,,,,,
9,1623263,9429034822661,20 Apr 2005,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1623263,1623263,,"18 Airlie Street, Rd 1, Nelson, 7071
, New Zealand","18 Airlie Street, Rd 1, Nelson, 7071
, New Zealand","FALLOON, Geoffrey John",BIZ RESCUE LIMITED,64 3 5467999,geoffbizrescue.co.nz,29 Oct 2015,GSA dated 18215 over all present and after acquired personal property including but not limited to 9 motor vehicles.,"Notice of End of Receivership 
      						
      							
      								Filed
    							
    							
							
							 21 Apr 2016",
