,Company number:,NZBN:,Incorporation Date:,Company Status:,Entity type:,Constitution filed:,FRA Reporting Month:,Ultimate holding company,Directors,Company record link:,company_id,address.Registered office address,address.Registered Office,address.Address for service
0,861111,9429038066467,12 Jun 1997,Removed,NZ Limited Company,Yes,March,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco861111,861111,,"C/- Nobilo & Co, Unit 5/36 William Pickering Drive, Albany
, New Zealand","C/- Nobilo & Co, Unit 5/36 William Pickering Drive, Albany
, New Zealand"
1,1254129,9429036255405,07 Nov 2002,Removed,NZ Limited Company,Yes,,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1254129,1254129,,"Findex, 173 Spey Street, Invercargill, 9810
, New Zealand","Findex, 173 Spey Street, Invercargill, 9810
, New Zealand"
2,169351,9429040178585,29 Apr 1982,Removed,NZ Limited Company,No,,Not specified,,httpsapp.companiesoffice.govt.nzco169351,169351,,"Greenvale Road, Geraldine
, New Zealand",
3,3403896,9429031077767,30 May 2011,Removed,NZ Limited Company,Yes,,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco3403896,3403896,,"Hatfield Accounting Limited, 4 Cameron Road, Tauranga, 3110
, New Zealand","Hatfield Accounting Limited, 4 Cameron Road, Tauranga, 3110
, New Zealand"
4,1287275,9429036059607,01 Apr 2003,Removed,NZ Limited Company,Yes,,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1287275,1287275,,"38 Moa Point Road, Wellington 6003
, New Zealand","38 Moa Point Road, Wellington 6003
, New Zealand"
5,1878875,9429033790572,25 Oct 2006,Removed,NZ Limited Company,Yes,,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1878875,1878875,,"Ken Solly & Associates, Chartered Accountants, 32 Tirau Street, Putaruru, 3411
, New Zealand","Ken Solly & Associates, Chartered Accountants, 32 Tirau Street, Putaruru, 3411
, New Zealand"
6,1021876,9429037329594,13 Mar 2000,Removed,NZ Limited Company,No,,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1021876,1021876,,"113 Tilly Rd, Paekakariki
, New Zealand","113 Tilly Rd, Paekakariki
, New Zealand"
7,165529,9429040207636,06 Jun 1979,Removed,NZ Limited Company,No,,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco165529,165529,,"D B Hames, Chartered Accountant, Northumberland Street, Waipukurau
, New Zealand","-
, New Zealand"
8,166863,9429040195155,28 Nov 1952,Removed,NZ Limited Company,Yes,,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco166863,166863,,"Carran Miller Strawbridge Ltd, 3rd Floor, Clifford House, 38 Halifax Street, Nelson 7010
, New Zealand","Carran Miller Strawbridge Ltd, 3rd Floor, Clifford House, 38 Halifax Street, Nelson 7010
, New Zealand"
9,5675848,9429041746752,10 Jun 2015,Removed,NZ Limited Company,No,,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco5675848,5675848,,"Michaela Poots, 43 Rob Roy Lane, Wanaka, Wanaka, 9305
, New Zealand","Michaela Poots, 43 Rob Roy Lane, Wanaka, Wanaka, 9305
, New Zealand"
