,Company number:,NZBN:,Incorporation Date:,Company Status:,Entity type:,Constitution filed:,Ultimate holding company,Directors,Company record link:,company_id,address.Registered office address,address.Registered Office,address.Address for service
0,934523,9429037719128,17 Nov 1998,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco934523,934523,,"40b Moana Crescent, Mangakino
, New Zealand","40b Moana Crescent, Mangakino
, New Zealand"
1,1506446,9429035430513,22 Apr 2004,Removed,NZ Limited Company,No,Not specified,Showing 2 of 3 directors,httpsapp.companiesoffice.govt.nzco1506446,1506446,,"4/47 Hamilton Rd, Hataitai, Wellington
, New Zealand","4/47 Hamilton Rd, Hataitai, Wellington
, New Zealand"
2,67434,9429040658483,23 Oct 1964,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco67434,67434,,"R D 2, Ruawai
, New Zealand",
3,5445322,9429041396506,04 Sep 2014,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco5445322,5445322,,"C/- PwC, 60 Cashel Street, Christchurch Central, Christchurch, 8013
, New Zealand","C/- PwC, 60 Cashel Street, Christchurch Central, Christchurch, 8013
, New Zealand"
4,809772,9429038315343,22 May 1996,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco809772,809772,,"61 Orangewood Drive, Northpark, Howick
, New Zealand","61 Orangewood Drive, Northpark, Howick
, New Zealand"
5,19070,9429040902623,18 Aug 1966,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco19070,19070,,"3rd Flr, Cmc Building, 89 Courtenay Place, Wellington
, New Zealand",
6,30132,9429040843438,03 Oct 1974,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco30132,30132,,"Suite 7,, 99 Mana Esplanade,, Plimmerton.
, New Zealand","Suite 7,, 99 Mana Esplanade,, Plimmerton.
, New Zealand"
7,803997,9429038347825,10 Apr 1996,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco803997,803997,,"35 Drews Avenue, Wanganui
, New Zealand","35 Drews Avenue, Wanganui
, New Zealand"
8,840151,9429038171543,31 Jan 1997,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco840151,840151,,"Level 6, 57 Symonds Street, Grafton, Auckland, 1010
, New Zealand","Level 6, 57 Symonds Street, Grafton, Auckland, 1010
, New Zealand"
9,114211,9429032094022,14 May 1982,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco114211,114211,,"C/- Kpmg Peat Marwick, Level 6, Kpmg Peat Marwick Centre, 9 Princes Street, Auckland 1
, New Zealand",
10,,,,,,,,,,643521,,,
11,,,,,,,,,,165526,,,
12,,,,,,,,,,1501172,,,
13,,,,,,,,,,1534463,,,
14,,,,,,,,,,918801,,,
15,,,,,,,,,,1928290,,,
