,Company number:,NZBN:,Incorporation Date:,Company Status:,Entity type:,Constitution filed:,Ultimate holding company,Company record link:,company_id,address.Registered office address,address.Registered Office,address.Address for service,Directors
0,45215,9429040741123,14 Aug 1945,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco45215,45215,,"104 Mt Eden Rd, Mt Eden, Auckland
, New Zealand",,
1,2019703,9429033076058,23 Oct 2007,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco2019703,2019703,,"Mckay Katene & Associates Ltd, Chartered Accountants, 275 Broadway Avenue, Palmerston North
, New Zealand","Mckay Katene & Associates Ltd, Chartered Accountants, 275 Broadway Avenue, Palmerston North
, New Zealand",Showing 1 of 1 directors
2,3617391,9429030905825,26 Oct 2011,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco3617391,3617391,,"Gca Lawyers, Ground Floor, 22 Moorhouse Avenue, Christchurch, 8011
, New Zealand","Gca Lawyers, Ground Floor, 22 Moorhouse Avenue, Christchurch, 8011
, New Zealand",Showing 1 of 1 directors
3,1945182,9429033381091,07 Jun 2007,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco1945182,1945182,,"Cousins & Associates, Level 1, Sol Square, Christchurch 8140
, New Zealand","Cousins & Associates, Level 1, Sol Square, Christchurch 8140
, New Zealand",Showing 1 of 1 directors
4,8153856,9429048932899,20 Jan 2021,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco8153856,8153856,,"Heang Accounting Services Limited, 72 Taharoto Road, Takapuna, Auckland, 0622
, New Zealand","Heang Accounting Services Limited, 72 Taharoto Road, Takapuna, Auckland, 0622
, New Zealand",Showing 1 of 1 directors
5,102685,9429040421261,03 Apr 1978,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco102685,102685,,"Maurice L Chatfield, 3rd Floor Nagel House, Courthouse Lane, Auckland
, New Zealand",,Showing 2 of 2 directors
6,103972,9429040407364,19 Sep 1978,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco103972,103972,,"Suite 2 Ground Floor, 12 Seddon Street, Pukekohe
, New Zealand","Suite 2 Ground Floor, 12 Seddon Street, Pukekohe
, New Zealand",Showing 2 of 3 directors
7,106552,9429040383026,12 Sep 1979,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco106552,106552,,"118 North Rd, Kaitaia
, New Zealand",,Showing 2 of 2 directors
8,108464,9429032249705,23 May 1980,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco108464,108464,,"80 Greys Ave, Auckland
, New Zealand",,
9,1812521,9429034130070,04 May 2006,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco1812521,1812521,,"17 Ewen Alison Avenue, Devonport, Auckland, 0624
, New Zealand","Gannaway Mercer, Chartered Accountants, 17 Ewen Alison Avenue, Devonport, Auckland, 0624
, New Zealand",Showing 1 of 1 directors
10,81256,9429040578163,26 Mar 1971,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco81256,81256,,"C/-syers Hamilton Pool Ltd, Chartered Accountants, 113 Bank Street, Whangarei
, New Zealand","C/-syers Hamilton Pool Ltd, Chartered Accountants, 113 Bank Street, Whangarei
, New Zealand",Showing 1 of 1 directors
11,1972175,9429033210759,02 Aug 2007,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco1972175,1972175,,"C/-thompson, Daly & Co, 266 Hardy Street, Nelson, 7010
, New Zealand","C/-thompson, Daly & Co, 266 Hardy Street, Nelson, 7010
, New Zealand",Showing 1 of 1 directors
12,1651741,9429034692431,29 Jun 2005,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco1651741,1651741,,"289 Ohariu Valley Road, Ohariu, Wellington, 6037
, New Zealand","289 Ohariu Valley Road, Ohariu, Wellington, 6037
, New Zealand",Showing 2 of 2 directors
13,101489,9429040432410,25 Aug 1977,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco101489,101489,,"404 Lake Rd, Takapuna, Auckland 9
, New Zealand",,
14,1578623,9429035072522,17 Nov 2004,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco1578623,1578623,,"90 Dixon Street, Wellington
, New Zealand","90 Dixon Street, Wellington
, New Zealand",Showing 1 of 1 directors
15,94654,9429040483818,09 Jun 1975,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco94654,94654,,"33 Selwyn St, Onehunga 6
, New Zealand",,
16,1773082,9429034286616,10 Mar 2006,Removed,NZ Limited Company,Yes,No,httpsapp.companiesoffice.govt.nzco1773082,1773082,,"5 Banville Road, East Tamaki, Auckland, 2016
, New Zealand","5 Banville Road, East Tamaki, Auckland, 2016
, New Zealand",Showing 2 of 2 directors
17,132582,9429031889001,10 Dec 1970,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco132582,132582,,"167 Victoria Street, Christchurch
, New Zealand",,Showing 1 of 1 directors
18,1425839,9429035710080,22 Oct 2003,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco1425839,1425839,,"B.d.o. Spicers, 10 Young Street, New Plymouth
, New Zealand","B.d.o. Spicers, 10 Young Street, New Plymouth
, New Zealand",Showing 2 of 2 directors
19,2211268,9429032384932,18 Feb 2009,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco2211268,2211268,,"33 Te Moana Road, Waikanae Beach
, New Zealand","33 Te Moana Road, Waikanae Beach
, New Zealand",Showing 1 of 1 directors
20,389449,9429039465542,25 May 1988,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco389449,389449,,"Suite 1a, Hallmark Building, Hillary Square, Orewa
, New Zealand","Suite 1a, Hallmark Building, Hillary Square, Orewa
, New Zealand",Showing 2 of 2 directors
21,31301,9429040832319,14 Aug 1975,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco31301,31301,,"Flanders Blg, 68 High St, Lower Hutt
, New Zealand",,
22,191886,9429040091709,12 Oct 1971,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco191886,191886,,"C/- Ancell Clare, Cnr Somerset Street, & Devon Road, Hamilton
, New Zealand","C/- Ancell Clare, Cnr Somerset Street, & Devon Road, Hamilton
, New Zealand",Showing 2 of 2 directors
23,72349,9429040633367,21 Mar 1967,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco72349,72349,,"16 Elliott Street, Papakura
, New Zealand","Skipper Lay & Associates, 16 Elliott St, Papakura, Auckland
, New Zealand",Showing 2 of 2 directors
24,75218,9429040614649,12 Sep 1968,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco75218,75218,,"17 Spinella Drive, Glenfield
, New Zealand",,
25,1788584,9429034239049,17 Mar 2006,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco1788584,1788584,,"Abacus Administration Limited, 53-61 Whitaker Street, Te Aroha, 3320
, New Zealand","Abacus Administration Limited, 53-61 Whitaker Street, Te Aroha, 3320
, New Zealand",Showing 1 of 1 directors
26,7219338,9429047226197,28 Jan 2019,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco7219338,7219338,,"CHRIS MENG CUI, 201/127 Newton Road ,eden Terrace, Eden Terrace, Auckland, 1010
, New Zealand","CHRIS MENG CUI, 201/127 Newton Road ,eden Terrace, Eden Terrace, Auckland, 1010
, New Zealand",Showing 1 of 1 directors
27,2173012,9429032559767,18 Sep 2008,Removed,NZ Limited Company,Yes,No,httpsapp.companiesoffice.govt.nzco2173012,2173012,,"339a Avonhead Road, Avonhead, Christchurch, 8042
, New Zealand","339a Avonhead Road, Avonhead, Christchurch, 8042
, New Zealand",Showing 1 of 1 directors
28,163962,9429040215990,29 Mar 1973,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco163962,163962,,"C/o Barr Burgess & Stewart, 202-204 Warren St N Box 1040, Hastings
, New Zealand",,
29,2292409,9429032081480,31 Jul 2009,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco2292409,2292409,,"18/4 Seaview Rd, Paraparaumu Beach
, New Zealand","18/4 Seaview Rd, Paraparaumu Beach
, New Zealand",Showing 2 of 2 directors
30,398769,9429039433176,27 Sep 1988,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco398769,398769,,"10 Kerr Street, Devonport, Auckland 9
, New Zealand","10 Kerr Street, Devonport, Auckland
, New Zealand",Showing 2 of 2 directors
31,6124313,9429043356386,05 Oct 2016,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco6124313,6124313,,"Level 8, 57 Symonds Street, Grafton, Auckland, 1010
, New Zealand","Level 8, 57 Symonds Street, Grafton, Auckland, 1010
, New Zealand",Showing 1 of 1 directors
32,5999588,9429042356714,20 May 2016,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco5999588,5999588,,"Jamie Nicholas, 33 Doreen Street, Aranui, Christchurch, 8061
, New Zealand","K Korkie, 53 Kimberley Street, Casebrook, Christchurch, 8051
, New Zealand",Showing 1 of 1 directors
33,42638,9429040749204,15 Sep 1930,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco42638,42638,,"32 Glenveagh Drive, Mt Roskill, Auckland 4
, New Zealand",,
34,894789,9429037911980,11 Feb 1998,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco894789,894789,,"East Maddison Road, R D 5, Rolleston
, New Zealand","East Maddison Road, Rd 5, Rolleston
, New Zealand",Showing 1 of 1 directors
35,2106341,9429032857764,27 Mar 2008,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco2106341,2106341,,"5 Mary Keane Lane, Parakai, Helensville, Auckland
, New Zealand","5 Mary Keane Lane, Parakai, Helensville, Auckland
, New Zealand",Showing 1 of 1 directors
36,2028878,9429033066059,08 Nov 2007,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco2028878,2028878,,"No 107 Queens Rd Panmure, Auckland
, New Zealand","107 Queens Rd. Panmure, Auckland
, New Zealand",Showing 1 of 1 directors
37,104400,9429040401294,15 Nov 1978,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco104400,104400,,"6 Orchard Rise, Papakura
, New Zealand","6 Orchard Rise, Papakura
, New Zealand",Showing 2 of 2 directors
38,1033823,9429037268909,24 May 2000,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco1033823,1033823,,"103 Fitzroy Street, Papatoetoe
, New Zealand","103 Fitzroy Street, Papatoetoe
, New Zealand",Showing 2 of 2 directors
39,426023,9429039349279,07 Jul 1989,Removed,NZ Limited Company,Yes,No,httpsapp.companiesoffice.govt.nzco426023,426023,,"31f Springs Road, Parakai, Parakai, 0830
, New Zealand","31f Springs Road, Parakai, Parakai, 0830
, New Zealand",Showing 1 of 1 directors
40,1537873,9429035268970,28 Jul 2004,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco1537873,1537873,,"11a Araminta Place, Beachlands, , Auckland
, New Zealand","11a Araminta Place, Beachlands, , Auckland
, New Zealand",Showing 2 of 2 directors
