,Company number:,NZBN:,Incorporation Date:,Company Status:,Entity type:,Constitution filed:,Ultimate holding company,Directors,Company record link:,company_id,address.Registered office address,address.Registered Office,address.Address for service,FRA Reporting Month:
0,2130559,9429032750867,13 May 2008,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2130559,2130559,,"5/10 Colombo Street, Newtown, Wellington
, New Zealand","5/10 Colombo Street, Newtown, Wellington
, New Zealand",
1,7442137,9429047436565,07 May 2019,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco7442137,7442137,,"Maria Claudet Griarte, 36 Marshall Street, Fairfield, Hamilton, 3214
, New Zealand","Maria Claudet Griarte, 36 Marshall Street, Fairfield, Hamilton, 3214
, New Zealand",
2,1187421,9429036632428,27 Feb 2002,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1187421,1187421,,"Erskine-shaw Accountants Ltd, 148 Amohau Street, Rotorua
, New Zealand","Erskine-shaw Accountants Ltd, 148 Amohau Street, Rotorua
, New Zealand",
3,7583256,9429047552654,10 Jul 2019,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco7583256,7583256,,"150 Bordesley Street, Phillipstown, Christchurch, 8011
, New Zealand","150 Bordesley Street, Phillipstown, Christchurch, 8011
, New Zealand",
4,1144539,9429036867851,21 Jun 2001,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1144539,1144539,,"Level 1, 636 Great South Road, Penrose, Auckland
, New Zealand","Level 1 636 Great South Rd, Penrose, Auckland
, New Zealand",
5,1669848,9429034634806,18 Aug 2005,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1669848,1669848,,"Strathallan Villa 8, 31 Konini Street, Gleniti, Timaru
, New Zealand","Strathallan Villa 8, 31 Konini Street, Gleniti, Timaru
, New Zealand",
6,123273,9429031983877,27 Apr 1950,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco123273,123273,,"224 Cashel Street, Christchurch
, New Zealand",,
7,1592736,9429035002086,13 Jan 2005,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1592736,1592736,,"Robertson Bixley Ltd, 33 Coles Crescent, Papakura 2110
, New Zealand","Robertson Bixley Ltd, 33 Coles Crescent, Papakura 2110
, New Zealand",
8,5194621,9429041222522,06 May 2014,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco5194621,5194621,,"6 Wheatley Avenue, Pakuranga, Auckland, 2010
, New Zealand","6 Wheatley Avenue, Pakuranga, Auckland, 2010
, New Zealand",
9,686942,9429038449581,21 Jul 1995,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco686942,686942,,"5 Wiremu Street, Balmoral, Auckland
, New Zealand","5 Wiremu Street, Balmoral, Auckland
, New Zealand",
