,href,company_id,nzbn,company_name
0,javascript:viewCompanyDetails('1594932');,1594932,9429034988077,X POLO X LIMITED
1,javascript:viewCompanyDetails('3980258');,3980258,9429030534599,X RAW X LIMITED
2,javascript:viewCompanyDetails('1658536');,1658536,9429034672150,X & X HOMES LIMITED
3,javascript:viewCompanyDetails('1298016');,1298016,9429036004539,X & X TRADINGS LIMITED
4,javascript:viewCompanyDetails('2441690');,2441690,9429031609180,X FACTOR CHARTERS LIMITED
5,javascript:viewCompanyDetails('1760289');,1760289,9429034336748,X AGE LIMITED
6,javascript:viewCompanyDetails('1820264');,1820264,9429034099612,X BAND LIMITED
7,javascript:viewCompanyDetails('2113075');,2113075,9429032827002,X CARS LIMITED
8,javascript:viewCompanyDetails('5783440');,5783440,9429041939673,X CLEAN LIMITED
9,javascript:viewCompanyDetails('3552472');,3552472,9429030945968,X COMPANY LIMITED
10,javascript:viewCompanyDetails('1879880');,1879880,9429033784304,X CONSTRUCTION LIMITED
11,javascript:viewCompanyDetails('1685755');,1685755,9429034574935,X DEVELOPMENTS LIMITED
12,javascript:viewCompanyDetails('1703966');,1703966,9429034511640,X EVENTS LIMITED
13,javascript:viewCompanyDetails('6113967');,6113967,9429043340767,X FABRICATION LIMITED
14,javascript:viewCompanyDetails('1914752');,1914752,9429033569901,X FACTA LIMITED
15,javascript:viewCompanyDetails('854536');,854536,9429038100871,X FANSHAWE LIMITED
16,javascript:viewCompanyDetails('1054791');,1054791,9429037176822,X FILES LIMITED
17,javascript:viewCompanyDetails('5676488');,5676488,9429041702918,X GREEN LIMITED
18,javascript:viewCompanyDetails('7757338');,7757338,9429047718173,X HALE LIMITED
19,javascript:viewCompanyDetails('1773491');,1773491,9429034285787,X HIRE LIMITED
20,javascript:viewCompanyDetails('6109247');,6109247,9429043331048,X HOME LIMITED
21,javascript:viewCompanyDetails('3590872');,3590872,9429030919488,X IMPORTS LIMITED
22,javascript:viewCompanyDetails('1952162');,1952162,9429033337982,X INFO LIMITED
23,javascript:viewCompanyDetails('7758756');,7758756,9429047717008,X INFO LIMITED
24,javascript:viewCompanyDetails('4070759');,4070759,9429030467101,X INTERIORS LIMITED
25,javascript:viewCompanyDetails('611166');,611166,9429038767357,X INVESTMENTS LIMITED
26,javascript:viewCompanyDetails('6253627');,6253627,9429046011381,X LOGISTICS LIMITED
27,javascript:viewCompanyDetails('685819');,685819,9429038452192,X MARK LIMITED
28,javascript:viewCompanyDetails('3249488');,3249488,9429031241342,X PLUS LIMITED
29,javascript:viewCompanyDetails('1840917');,1840917,9429033996486,X QUALITY LIMITED
30,javascript:viewCompanyDetails('1770087');,1770087,9429034298442,X RIDES LIMITED
31,javascript:viewCompanyDetails('7875279');,7875279,9429047909533,X RYLJ LIMITED
32,javascript:viewCompanyDetails('1445860');,1445860,9429035668213,X SPACE LIMITED
33,javascript:viewCompanyDetails('897263');,897263,9429037898090,X STREAM LIMITED
34,javascript:viewCompanyDetails('1300083');,1300083,9429035999171,X THREE LIMITED
35,javascript:viewCompanyDetails('4651799');,4651799,9429030058989,X TOURS LIMITED
36,javascript:viewCompanyDetails('2097188');,2097188,9429032897944,X TRACK LIMITED
37,javascript:viewCompanyDetails('1960300');,1960300,9429033279855,X TRUCKING LIMITED
38,javascript:viewCompanyDetails('1187421');,1187421,9429036632428,X WELD LIMITED
39,javascript:viewCompanyDetails('929128');,929128,9429037745509,X ZONE LIMITED
40,javascript:viewCompanyDetails('918796');,918796,9429037796341,EDISCOVERY LIMITED
41,javascript:viewCompanyDetails('5274541');,5274541,9429041265802,X & G LIMITED
42,javascript:viewCompanyDetails('5689654');,5689654,9429041724507,X & T LIMITED
43,javascript:viewCompanyDetails('1140132');,1140132,9429036891962,X - FUN LIMITED
44,javascript:viewCompanyDetails('1410577');,1410577,9429035741886,X 2 DEVELOPMENTS LIMITED
45,javascript:viewCompanyDetails('1410779');,1410779,9429035740568,X 2 INVESTMENTS LIMITED
46,javascript:viewCompanyDetails('1892635');,1892635,9429033709208,X 4 COMPANY LIMITED
47,javascript:viewCompanyDetails('5806547');,5806547,9429041979389,X A PROPERTIES LIMITED
48,javascript:viewCompanyDetails('1285690');,1285690,9429036070121,X AND K LIMITED
49,javascript:viewCompanyDetails('8550746');,8550746,9429051007379,X AND R LIMITED
50,javascript:viewCompanyDetails('7896999');,7896999,9429047964488,X BRED CLOTHING LIMITED
51,javascript:viewCompanyDetails('703240');,703240,9429038396229,X C CLOTHING LIMITED
52,javascript:viewCompanyDetails('1208479');,1208479,9429036508426,X CORP INTERNATIONAL LIMITED
53,javascript:viewCompanyDetails('1696295');,1696295,9429034539798,X EYED INVESTMENTS LIMITED
54,javascript:viewCompanyDetails('1967083');,1967083,9429033240114,X FACTOR CARS LIMITED
55,javascript:viewCompanyDetails('905971');,905971,9429037855772,X FACTOR COMPUTING LIMITED
56,javascript:viewCompanyDetails('1600489');,1600489,9429034954096,X FACTOR ELECTRICAL LIMITED
57,javascript:viewCompanyDetails('1961842');,1961842,9429033268101,X FACTOR ELECTRONICS LIMITED
58,javascript:viewCompanyDetails('3027960');,3027960,9429031459037,X FACTOR ENTERPRISES LIMITED
59,javascript:viewCompanyDetails('2508596');,2508596,9429031505925,X FACTOR EVENTS LIMITED
60,javascript:viewCompanyDetails('853915');,853915,9429038102820,X FACTOR FINANCE LIMITED
61,javascript:viewCompanyDetails('7097720');,7097720,9429047101036,X FACTOR FIREWOOD LIMITED
62,javascript:viewCompanyDetails('2099325');,2099325,9429032887594,X FACTOR FITNESS LIMITED
63,javascript:viewCompanyDetails('4595794');,4595794,9429030099319,X FACTOR FOODS LIMITED
64,javascript:viewCompanyDetails('4162258');,4162258,9429030410138,X FACTOR IMPORTS LIMITED
65,javascript:viewCompanyDetails('5183742');,5183742,9429041216705,X FACTOR RESOURCES LIMITED
66,javascript:viewCompanyDetails('2504668');,2504668,9429031511223,X FACTOR SERVICES LIMITED
67,javascript:viewCompanyDetails('882513');,882513,9429037968816,X FACTOR SPORTS LIMITED
68,javascript:viewCompanyDetails('7871281');,7871281,9429047895652,X FINANCIAL SERVICES LIMITED
69,javascript:viewCompanyDetails('975973');,975973,9429037499914,X GROUP PROPERTY LIMITED
70,javascript:viewCompanyDetails('8126067');,8126067,9429048652292,X INTERNATIONAL TRADING LIMITED
71,javascript:viewCompanyDetails('8461482');,8461482,9429050799480,X IT CLEAN LIMITED
72,javascript:viewCompanyDetails('967010');,967010,9429037545512,X L PLASTERERS LIMITED
73,javascript:viewCompanyDetails('8386406');,8386406,9429050628056,X LABOUR NZ LIMITED
74,javascript:viewCompanyDetails('5322402');,5322402,9429041289808,X MARINE (NZ) LIMITED
75,javascript:viewCompanyDetails('3402213');,3402213,9429031079099,X P DESIGN LIMITED
76,javascript:viewCompanyDetails('1153038');,1153038,9429036821884,X P PAINTERS LIMITED
77,javascript:viewCompanyDetails('944783');,944783,9429037668099,X P SOFTWARE LIMITED
78,javascript:viewCompanyDetails('8082423');,8082423,9429048531238,X PERFORMANCE CARS LIMITED
79,javascript:viewCompanyDetails('2172422');,2172422,9429032563153,X Q MANAGEMENT LIMITED
80,javascript:viewCompanyDetails('1260487');,1260487,9429036219049,X R BUILDERS LIMITED
81,javascript:viewCompanyDetails('1502171');,1502171,9429035453581,X RACING MOTORSPORT LIMITED
82,javascript:viewCompanyDetails('1167215');,1167215,9429036743216,X ROADS CAFE LIMITED
83,javascript:viewCompanyDetails('4575919');,4575919,9429030114623,X T MOTORS LIMITED
84,javascript:viewCompanyDetails('1562052');,1562052,9429035152668,X TREME PRODUCTIONS LIMITED
85,javascript:viewCompanyDetails('7996362');,7996362,9429048208420,X W INTERNATIONAL LIMITED
86,javascript:viewCompanyDetails('1519899');,1519899,9429035358770,XSCI LIMITED
87,javascript:viewCompanyDetails('6620174');,6620174,9429046524867,REVOLT ELECTRICAL LIMITED
88,javascript:viewCompanyDetails('1948653');,1948653,9429033359694,X & D COMPANY LIMITED
89,javascript:viewCompanyDetails('2070566');,2070566,9429032993585,X & G ENTERPRISES LIMITED
90,javascript:viewCompanyDetails('1889890');,1889890,9429033726885,X & K TRADING LIMITED
91,javascript:viewCompanyDetails('2220755');,2220755,9429032340532,X & L ENTERPRISES LIMITED
92,javascript:viewCompanyDetails('2380603');,2380603,9429031718912,X & L INVESTMENT LIMITED
93,javascript:viewCompanyDetails('2000055');,2000055,9429033102115,X & L SERVICES LIMITED
94,javascript:viewCompanyDetails('2235490');,2235490,9429032281910,X & P INTERNATIONAL LIMITED
95,javascript:viewCompanyDetails('80619');,80619,9429040583136,X & T RESUL LIMITED
96,javascript:viewCompanyDetails('1035996');,1035996,9429037258795,X & W INTERNATIONAL LIMITED
97,javascript:viewCompanyDetails('954161');,954161,9429037614423,X & Y INTERNATIONAL LIMITED
98,javascript:viewCompanyDetails('1786637');,1786637,9429034243527,X & Y INVESTMENTS LIMITED
