,Company number:,NZBN:,Incorporation Date:,Company Status:,Entity type:,Constitution filed:,Ultimate holding company,Directors,Company record link:,company_id,address.Registered office address,address.Registered Office,address.Address for service,Receiver:,Organisation:,Phone:,Email:,Appointed:,Brief description of propertyin receivership:,Reports,FRA Reporting Month:,Country of Origin:,address.Principal place of business in NZ,address.Address of person authorised to accept service in NZ,ACN Number:
0,3799405,9429030688377,30 Apr 2012,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco3799405,3799405,,"387 Karori Road, Karori, Wellington, 6012
, New Zealand","387 Karori Road, Karori, Wellington, 6012
, New Zealand",,,,,,,,,,,,
1,187917,9429040114002,27 May 1966,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco187917,187917,,"1 Clive Square West, Napier
, New Zealand","-
, New Zealand",,,,,,,,,,,,
2,1590309,9429035014782,12 Jan 2005,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1590309,1590309,,"Cary Mossman Limited, 206 Lyndon Road West, Hastings
, New Zealand","26 Maria Place, Wanganui
, New Zealand",,,,,,,,,,,,
3,161063,9429040232874,14 Jun 1961,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco161063,161063,,"C/o Wilkinson Wilberfoss, Phoenix House, Tennyson St, Napier
, New Zealand",,,,,,,,,,,,,
4,2361421,9429031768962,16 Nov 2009,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2361421,2361421,,"50 Sabina Street, Shirley, Christchurch, 8013
, New Zealand","Henry Stikkelman, 3 Lowry Street, Waiau, Waiau, 7332
, New Zealand",,,,,,,,,,,,
5,181783,9429040134581,02 Oct 1958,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco181783,181783,,"R D 3, Tahuna, Morrinsville
, New Zealand","R D 3, Tahuna, Morrinsville
, New Zealand",,,,,,,,,,,,
6,892494,9429037924492,23 Jan 1998,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco892494,892494,,"8 Pohutukawa Drive, Rd 1, Katikati, 3177
, New Zealand","8 Pohutukawa Drive, Rd 1, Katikati, 3177
, New Zealand",,,,,,,,,,,,
7,164455,9429040211053,02 Aug 1974,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco164455,164455,,"The Official Assignee's Office, Level 2, Bower House, 26-28 Bower Street, Napier
, New Zealand","Coffey Davidson & Partners, 303 N Karamu Road, Hastings
, New Zealand",,,,,,,,,,,,
8,3100085,9429031392860,13 Sep 2010,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco3100085,3100085,,"611a Worcester Street, Linwood, Christchurch, 8062
, New Zealand","611a Worcester Street, Linwood, Christchurch, 8062
, New Zealand",,,,,,,,,,,,
9,2286377,9429032122862,17 Jul 2009,Removed,NZ Limited Company,Yes,No,Showing 2 of 3 directors,httpsapp.companiesoffice.govt.nzco2286377,2286377,,"Sutcliffe Graham & Co Ltd, 1181 Cameron Road, Gate Pa, Tauranga, 3112
, New Zealand","171c Gridley Road, Rd 8, Te Puke, 3188
, New Zealand",,,,,,,,,,,,
10,151679,9429040282701,16 Sep 1957,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco151679,151679,,"Rowe & Williams, 413 Pollen St, Thames
, New Zealand","C/- Rowe Williams, Po Box 47, Thames
, New Zealand",,,,,,,,,,,,
11,77732,9429040602509,21 Oct 1969,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco77732,77732,,"Cnr Great Nth Road, & Trading Place, Henderson, Auckland 8
, New Zealand",,,,,,,,,,,,,
12,167127,9429040195087,01 Nov 1957,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco167127,167127,,"73 Parkers Rd Tahunanui Nelson
, New Zealand","-
, New Zealand",,,,,,,,,,,,
13,5839827,9429042048589,02 Nov 2015,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco5839827,5839827,,"Level 6, 5 Short Street, Newmarket, Auckland, 1049
, New Zealand","Level 6, 5 Short Street, Newmarket, Auckland, 1049
, New Zealand",,,,,,,,,,,,
14,43903,9429040744933,21 Dec 1936,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco43903,43903,,"Appt 3b Eppinghurst, 416 Remuera Rd, Auckland 5
, New Zealand",,,,,,,,,,,,,
15,127404,9429031941280,03 Jul 1963,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco127404,127404,,"17 Matai St, Christchurch
, New Zealand",,,,,,,,,,,,,
16,1515452,9429035382164,19 May 2004,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1515452,1515452,,"Howard Padman Chartered Accountants Ltd., 18 Napier Road, Havelock North
, New Zealand","Howard Padman Chartered Accountants Ltd., 18 Napier Road, Havelock North
, New Zealand",,,,,,,,,,,,
17,1957576,9429033300627,16 Jul 2007,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1957576,1957576,,"2252 South Eyre Road, Rangiora Rd1
, New Zealand","2252 South Eyre Road, Rangiora Rd1
, New Zealand",,,,,,,,,,,,
