,Company number:,NZBN:,Incorporation Date:,Company Status:,Entity type:,Constitution filed:,Ultimate holding company,Directors,Company record link:,company_id,address.Registered office address,address.Registered Office,address.Address for service,FRA Reporting Month:,Receiver:,Organisation:,Phone:,Email:,Appointed:,Brief description of propertyin receivership:,Reports,ACN Number:,Country of Origin:,address.Principal place of business in NZ,address.Address of person authorised to accept service in NZ
0,8002236,9429048227605,05 Jun 2020,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco8002236,8002236,,"104 Princes Street, Onehunga, Auckland, 1061
, New Zealand","104 Princes Street, Onehunga, Auckland, 1061
, New Zealand",,,,,,,,,,,,
1,1695355,9429034541364,12 Oct 2005,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1695355,1695355,,"128 Bassett Road, Remuera, Auckland, 1050
, New Zealand","128 Bassett Road, Remuera, Auckland, 1050
, New Zealand",,,,,,,,,,,,
2,8025510,9429048309738,10 Jun 2020,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco8025510,8025510,,"2 Foxbury Court, Rototuna North, Hamilton, 3210
, New Zealand","2 Foxbury Court, Rototuna North, Hamilton, 3210
, New Zealand",,,,,,,,,,,,
3,1185748,9429036642373,28 Jan 2002,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1185748,1185748,,"126 Cass Street, Ashburton
, New Zealand","126 Cass Street, Ashburton
, New Zealand",,,,,,,,,,,,
4,335673,9429039637345,13 Mar 1987,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco335673,335673,,"4th Floor National Mutual Building, Rathbone Street Whangarei
, New Zealand",,,,,,,,,,,,,
5,71218,9429040637341,19 Aug 1966,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco71218,71218,,"Level 8, 23 Customs Street East, Auckland
, New Zealand",,,,,,,,,,,,,
6,3839879,9429030657861,22 May 2012,Removed,NZ Limited Company,Yes,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco3839879,3839879,,"Maude & Miller, Level 7, Bnz Tower, 14 Hartham Place North, Porirua, 5022
, New Zealand","Maude & Miller, Level 7, Bnz Tower, 14 Hartham Place North, Porirua, 5022
, New Zealand",,,,,,,,,,,,
7,189310,9429040106106,06 Jun 1968,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco189310,189310,,"1 Braemar Road, Castor Bay, Auckland 10
, New Zealand","1 Braemar Road, Castor Bay, Auckland 10
, New Zealand",,,,,,,,,,,,
8,8255670,9429050028672,01 Nov 2021,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco8255670,8255670,,"581a Waimea Road, Annesbrook, Nelson, 7011
, New Zealand","581a Waimea Road, Annesbrook, Nelson, 7011
, New Zealand",,,,,,,,,,,,
9,2071355,9429032992298,10 Dec 2007,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2071355,2071355,,"7 San Luis Place, Howick, Auckland
, New Zealand","7 San Luis Place, Howick, Auckland
, New Zealand",,,,,,,,,,,,
10,2222997,9429032336214,25 Mar 2009,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2222997,2222997,,"Walker Davey Limited, 92 Russley Road, Russley, Christchurch, 8042
, New Zealand","92 Russley Road, Russley, Christchurch, 8042
, New Zealand",,,,,,,,,,,,
11,148819,9429040294759,03 Jul 1973,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco148819,148819,,"C/o 2nd Floor, State Insurance Bldg, Cnr Princes & Rattray Sts, Dunedin
, New Zealand",,,,,,,,,,,,,
12,14714,9429040921716,27 Sep 1962,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco14714,14714,,"3rd Floor, Ciruit House, 45-47 Queens Dr, Lower Hutt Wellington
, New Zealand",,,,,,,,,,,,,
13,25261,9429040870342,17 Aug 1971,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco25261,25261,,"53 Kowhai Avenue, Upper Hutt
, New Zealand",,,,,,,,,,,,,
14,862822,9429038059711,18 Jun 1997,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco862822,862822,,"20a Brighton Road, Green Island, Dunedin, 9018
, New Zealand","20a Brighton Road, Green Island, Dunedin, 9018
, New Zealand",,,,,,,,,,,,
15,154584,9429040268903,15 Feb 1939,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco154584,154584,,"160 Spey St, Invercargill
, New Zealand",,,,,,,,,,,,,
16,3884138,9429030629226,15 Jun 2012,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco3884138,3884138,,"Maude & Miller, Level 7, Bnz Tower, 14 Hartham Place North, Porirua, 5022
, New Zealand","Maude & Miller, Level 7, Bnz Tower, 14 Hartham Place North, Porirua, 5022
, New Zealand",,,,,,,,,,,,
17,2049794,9429033049502,09 Nov 2007,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2049794,2049794,,"30 Onetangi Road, Onetangi, Waiheke Island, 1081
, New Zealand","30 Onetangi Road, Onetangi, Waiheke Island, 1081
, New Zealand",,,,,,,,,,,,
18,8146507,9429048857208,08 Dec 2020,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco8146507,8146507,,"Ace Sterjov, 5 Glen Bay Close, Pinehill, Auckland, 0632
, New Zealand","Ace Sterjov, 5 Glen Bay Close, Pinehill, Auckland, 0632
, New Zealand",,,,,,,,,,,,
19,1798174,9429034193402,18 Apr 2006,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1798174,1798174,,"35 Peter Buck Rd, Avondale, Auckland
, New Zealand","35 Peter Buck Rd, Avondale, Auckland
, New Zealand",,,,,,,,,,,,
20,169050,9429040179186,24 Oct 1978,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco169050,169050,,"118 Hardy Street, Nelson
, New Zealand",,,,,,,,,,,,,
21,561035,9429038933967,03 Sep 1992,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco561035,561035,,"Sandstone Road, Whitford
, New Zealand","Sandstone Road, Whitford
, New Zealand",,,,,,,,,,,,
22,1909757,9429033602301,21 Feb 2007,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1909757,1909757,,"8 Sartors Ave, Browns Bay
, New Zealand","8 Sartors Ave, Browns Bay
, New Zealand",,,,,,,,,,,,
23,128325,9429031933032,22 Mar 1965,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco128325,128325,,"Miami Motels, 25 Eltham Road Kohimarama
, New Zealand",,,,,,,,,,,,,
24,537009,9429039014832,18 Feb 1992,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco537009,537009,,"Kpmg Centre, 18 Viaduct Harbour Ave, Auckland, 1140
, New Zealand","Kpmg Centre, 18 Viaduct Harbour Ave, Auckland, 1140
, New Zealand",,,,,,,,,,,,
