,Company number:,NZBN:,Incorporation Date:,Company Status:,Entity type:,Constitution filed:,Ultimate holding company,Directors,Company record link:,company_id,address.Registered office address,address.Registered Office,address.Address for service,FRA Reporting Month:,Receiver:,Organisation:,Phone:,Email:,Appointed:,Brief description of propertyin receivership:,Reports,Country of Origin:,address.Principal place of business in NZ,address.Address of person authorised to accept service in NZ,ACN Number:
0,3707736,9429030821125,18 Jan 2012,Removed,NZ Limited Company,Yes,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco3707736,3707736,,"84 Hinemoa Street, Birkenhead, Auckland, 0626
, New Zealand","84 Hinemoa Street, Birkenhead, Auckland, 0626
, New Zealand",,,,,,,,,,,,
1,4787439,9429040985633,21 Nov 2013,Removed,NZ Limited Company,No,No,Showing 2 of 3 directors,httpsapp.companiesoffice.govt.nzco4787439,4787439,,"22 Muirlea Drive, Flat Bush, Auckland, 2016
, New Zealand","22 Muirlea Drive, Flat Bush, Auckland, 2016
, New Zealand",,,,,,,,,,,,
2,180775,9429040136875,02 Oct 1957,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco180775,180775,,"Burchells Bldg, 1 Alexandra St, Te Awamutu
, New Zealand",,,,,,,,,,,,,
3,523765,9429039055019,30 Oct 1986,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco523765,523765,,"Level 2, 32 Waring Taylor Street, Wellington
, New Zealand",,,,,,,,,,,,,
4,564582,9429038921407,18 Dec 1992,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco564582,564582,,"Bishop, Dockrill, Mccleary, 171 Stafford Street, Timaru
, New Zealand",,,,,,,,,,,,,
5,6612122,9429046518385,20 Dec 2017,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco6612122,6612122,,"O. BABY. BABIES LIMITED, 10 Hepper Street, New Lynn, Auckland, 0600
, New Zealand","O. BABY. BABIES LIMITED, 10 Hepper Street, New Lynn, Auckland, 0600
, New Zealand",,,,,,,,,,,,
6,8875,9429040948256,23 Sep 1954,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco8875,8875,,"112 Rimu Road, Paraparaumu
, New Zealand","112 Rimu Road, Paraparaumu
, New Zealand",,,,,,,,,,,,
7,82207,9429040572109,17 Aug 1971,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco82207,82207,,"Level 2, 33 Great South Road, Newmarket, Auckland
, New Zealand","Level 2, 33 Great South Road, Newmarket, Auckland
, New Zealand",,,,,,,,,,,,
8,125623,9429031959438,17 Jun 1958,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco125623,125623,,"C/- Boyd Knight, Level 3, 208 Oxford Terrace, Christchurch
, New Zealand",,,,,,,,,,,,,
9,145511,9429040314600,14 Aug 1957,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco145511,145511,,"3 Ashton St, Gore
, New Zealand",,,,,,,,,,,,,
10,66812,9429040660639,10 Jul 1964,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco66812,66812,,"15 Nui Mana Road, Te Atatu South, Auckland 8
, New Zealand",,,,,,,,,,,,,
11,1030103,9429037284817,14 Apr 2000,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1030103,1030103,,"3/2 Oriental Tce, Wellington
, New Zealand","3/2 Oriental Tce, Wellington
, New Zealand",,,,,,,,,,,,
12,832467,9429038208515,25 Oct 1996,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 4 directors,httpsapp.companiesoffice.govt.nzco832467,832467,,"15 Edsel Street, Henderson
, New Zealand","15 Edsel Street, Henderson
, New Zealand",,,,,,,,,,,,
13,7550936,9429047525023,21 Jun 2019,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco7550936,7550936,,"40 Mt Eden Rd, Mt Eden, Auckland, 1150
, New Zealand","40 Mt Eden Rd, Mt Eden, Auckland, 1150
, New Zealand",,,,,,,,,,,,
14,84398,9429040561264,16 Jun 1972,Removed,NZ Limited Company,No,Not specified,Showing 2 of 3 directors,httpsapp.companiesoffice.govt.nzco84398,84398,,"Trappitt Morris & Beveridge, Victoria Street, Dargaville
, New Zealand","Trappitt Morris & Beveridge, Victoria Street, Dargaville
, New Zealand",,,,,,,,,,,,
