,Company number:,NZBN:,Incorporation Date:,Company Status:,Entity type:,Constitution filed:,Ultimate holding company,Company record link:,company_id,address.Registered office address,address.Registered Office,address.Address for service,Directors,address.Type of entity,Country of Origin:,FRA Reporting Month:,address.Principal place of business in NZ,address.Address of person authorised to accept service in NZ,Receiver:,Organisation:,Phone:,Email:,Appointed:,Vacated:,Brief description of propertyin receivership:,Reports,Status:,Liquidator:
0,133892,9429031874762,18 Sep 1972,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco133892,133892,,"210 Hereford St, Christchurch
, New Zealand",,,,,,,,,,,,,,,,,
1,831492,9429038214066,06 Nov 1996,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco831492,831492,,"Milne Maingay Chartered Accouuntants Ltd, 2nd Floor, 15b Vestey Drive, Mt Wellington, Auckland
, New Zealand","Milne Maingay Chartered Accountants Ltd, 2nd Floor, 15b Vestey Drive, Mt Wellington, Auckland
, New Zealand",Showing 2 of 3 directors,,,,,,,,,,,,,,,
2,1514358,9429035387282,13 May 2004,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco1514358,1514358,,"105 Tasman Street, Mt Cook, Wellington
, New Zealand","105 Tasman St, Mt Cook, Wellington
, New Zealand",Showing 1 of 1 directors,,,,,,,,,,,,,,,
3,2340632,9429031833905,04 Nov 2009,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco2340632,2340632,,"28 Oriana Avenue, Lynfield, Auckland, 1042
, New Zealand","28 Oriana Avenue, Lynfield, Auckland, 1042
, New Zealand",Showing 1 of 1 directors,,,,,,,,,,,,,,,
4,1852634,9429033941387,10 Aug 2006,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco1852634,1852634,,"Grant Thornton Auckland Limited, 152 Fanshawe Street, Auckland
, New Zealand","Grant Thornton Auckland Limited, 152 Fanshawe Street, Auckland
, New Zealand",Showing 2 of 2 directors,,,,,,,,,,,,,,,
5,1170276,9429036727148,26 Oct 2001,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco1170276,1170276,,"42/5 Campbell Road, Royal Oak, Auckland
, New Zealand","42/5 Campbell Road, Royal Oak, Auckland
, New Zealand",Showing 1 of 1 directors,,,,,,,,,,,,,,,
6,82069,9429040574301,27 Jul 1971,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco82069,82069,,"17 Aspenleigh Drive, Rd3, Hamilton
, New Zealand","17 Aspenleigh Drive, Rd3, Hamilton
, New Zealand",Showing 1 of 1 directors,,,,,,,,,,,,,,,
7,1929314,9429033477442,13 Apr 2007,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco1929314,1929314,,"336 Clifton Road, Whitford
, New Zealand","336 Clifton Road, Whitford
, New Zealand",Showing 2 of 2 directors,,,,,,,,,,,,,,,
8,5528207,9429041533970,09 Dec 2014,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco5528207,5528207,,"B's Keys LTD, 77d Mokoia Road, Birkenhead, Auckland, 0626
, New Zealand","B's Keys LTD, 77d Mokoia Road, Birkenhead, Auckland, 0626
, New Zealand",Showing 1 of 1 directors,,,,,,,,,,,,,,,
9,119646,9429032010503,11 Feb 1974,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco119646,119646,,"A6, 25 Cheshire Street, Parnell, Auckland, 1052
, New Zealand","A6, 25 Cheshire Street, Parnell, Auckland, 1052
, New Zealand",Showing 2 of 2 directors,,,,,,,,,,,,,,,
