,Company number:,NZBN:,Incorporation Date:,Company Status:,Entity type:,Constitution filed:,Ultimate holding company,Directors,Company record link:,company_id,address.Registered office address,address.Registered Office,address.Address for service,Receiver:,Organisation:,Phone:,Email:,Appointed:,Brief description of propertyin receivership:,FRA Reporting Month:,Reports,Country of Origin:,address.Principal place of business in NZ,address.Address of person authorised to accept service in NZ,ACN Number:
0,3880696,9429030633995,07 Jun 2012,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco3880696,3880696,,"5 Newnham Terrace, Upper Riccarton, Christchurch, 8041
, New Zealand","5 Newnham Terrace, Upper Riccarton, Christchurch, 8041
, New Zealand",,,,,,,,,,,,
1,1665906,9429034648179,18 Jul 2005,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1665906,1665906,,"180a Rockfield Road, Penrose, Auckland
, New Zealand","180a Rockfield Road, Penrose, Auckland
, New Zealand",,,,,,,,,,,,
2,1665225,9429034650202,25 Jul 2005,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1665225,1665225,,"22 Riverhills Ave, Pakuranga, Auckland
, New Zealand","22 Riverhills Ave, Pakuranga, Auckland
, New Zealand",,,,,,,,,,,,
3,77708,9429040600185,16 Oct 1969,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco77708,77708,,"208 Great South Road, Papatoetoe, Auckland
, New Zealand",,,,,,,,,,,,,
4,1112383,9429037026882,22 Jan 2001,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1112383,1112383,,"Wbb Chartered Accountants Ltd, Level 1, 111 Hurstmere Road, Takapuna, Auckland
, New Zealand","Wbb Chartered Accountants Ltd, Level 1, 111 Hurstmere Road, Takapuna, Auckland
, New Zealand",,,,,,,,,,,,
5,191472,9429040094359,08 Mar 1971,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco191472,191472,,"41 Moorhouse St, Morrinsville
, New Zealand",,,,,,,,,,,,,
6,1698947,9429034527948,21 Sep 2005,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1698947,1698947,,"Crichton Horne & Associates, 109 Cambridge Terrace, Christchurch
, New Zealand","David Ward Chartered Accountant Limited, Unit 4, 16 Loftus Street, Papanui, Christchurch 8053
, New Zealand",,,,,,,,,,,,
7,711020,9429038374678,23 Jan 1996,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 3 directors,httpsapp.companiesoffice.govt.nzco711020,711020,,"Walker Road, R D 3 Pukekohe
, New Zealand","Walker Road, R D 3 Pukekohe
, New Zealand",,,,,,,,,,,,
8,5741897,9429041834886,03 Jul 2015,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco5741897,5741897,,"Small Business Accounting, 507 Mount Albert Road, Three Kings, Auckland, 1042
, New Zealand","54 Kittiwake Drive, Schnapper Rock, Auckland, 0632
, New Zealand",,,,,,,,,,,,
9,205437,9429040001852,31 Aug 1983,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco205437,205437,,"Cnr Peter Snell Rd &, Marsden Point Rd, Ruakaka
, New Zealand",,,,,,,,,,,,,
10,1146040,9429036860333,28 Jun 2001,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1146040,1146040,,"Level 2, Ami House, 116 Riccarton Road, Christchurch
, New Zealand","Level 2, Ami House, 116 Riccarton Road, Christchurch
, New Zealand",,,,,,,,,,,,
11,1872734,9429033829258,04 Oct 2006,Removed,NZ Limited Company,Yes,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1872734,1872734,,"34e Hauone Road, Pikowai, Whakatane R D 4, 3194
, New Zealand","34e Hauone Road, Pikowai, Whakatane R D 4, 3194
, New Zealand",,,,,,,,,,,,
12,19835,9429040899572,05 May 1967,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco19835,19835,,"58 Devon St, Wanganui
, New Zealand",,,,,,,,,,,,,
13,1464943,9429035641032,28 Nov 2003,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1464943,1464943,,"Shop 2 28 Carlisle Street, Greerton, Tauranga, 3112
, New Zealand","Shop 2 28 Carlisle Street, Greerton, Tauranga, 3112
, New Zealand",,,,,,,,,,,,
