,Company number:,NZBN:,Incorporation Date:,Company Status:,Entity type:,Constitution filed:,Ultimate holding company,Directors,Company record link:,company_id,address.Registered office address,address.Registered Office,address.Address for service,FRA Reporting Month:,Receiver:,Organisation:,Phone:,Email:,Appointed:,Vacated:,Brief description of propertyin receivership:,Reports
0,200035,9429040030678,09 Jul 1981,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco200035,200035,,"17 Clifton Road,, Hamilton.
, New Zealand","17 Clifton Road,, Hamilton.
, New Zealand",,,,,,,,,
1,2150013,9429032663921,07 Jul 2008,Removed,NZ Limited Company,Yes,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco2150013,2150013,,"Nexia Christchurch Limited, Level 4, 123 Victoria Street, Christchurch Central, Christchurch, 8013
, New Zealand","218 Main South Road, Hornby, Christchurch, 8042
, New Zealand",,,,,,,,,
2,8129777,9429048758574,04 Nov 2020,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco8129777,8129777,,"E & E INVEST LIMITED, 26 Wainui Road, Raglan, Raglan, 3225
, New Zealand","E & E INVEST LIMITED, 26 Wainui Road, Raglan, Raglan, 3225
, New Zealand",,,,,,,,,
3,985986,9429037451325,27 Oct 1999,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco985986,985986,,"8 Amelia Earhart Ave, Airport Oaks, Auckland
, New Zealand","8 Amelia Earhart Ave, Airport Oaks, Auckland
, New Zealand",,,,,,,,,
4,90870,9429040513249,28 Feb 1972,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco90870,90870,,"74a Wheturangi Rd, Greenlane, Auckland
, New Zealand",,,,,,,,,,
5,6091373,9429042532095,25 Aug 2016,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco6091373,6091373,,"4 Killeen Place, Flat Bush, Auckland, 2019
, New Zealand","4 Killeen Place, Flat Bush, Auckland, 2019
, New Zealand",,,,,,,,,
6,68318,9429040653556,13 Apr 1965,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco68318,68318,,"11b Waikaukau Road, Glen Eden, Auckland, 0602
, New Zealand","11b Waikaukau Road, Glen Eden, Auckland, 0602
, New Zealand",,,,,,,,,
7,54948,9429040708744,29 Mar 1957,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 3 directors,httpsapp.companiesoffice.govt.nzco54948,54948,,"33 Crowhurst St, Newmarket, Auckland
, New Zealand","18 Broadway, Newmarket, Auckland
, New Zealand",,,,,,,,,
8,8576166,9429051063634,17 Jan 2023,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco8576166,8576166,,"8 Lambeth Road, Mount Eden, Auckland, 1041
, New Zealand","8 Lambeth Road, Mount Eden, Auckland, 1041
, New Zealand",,,,,,,,,
9,186493,9429040122649,01 Jul 1964,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco186493,186493,,"Cnr Tongariri & Heu Heu Sts, Taupo
, New Zealand",,,,,,,,,,
10,5892327,9429042195702,15 Mar 2016,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco5892327,5892327,,"26 Symonds Street, Waihi, 3610
, New Zealand","26 Symonds Street, Waihi, 3610
, New Zealand",,,,,,,,,
11,1950826,9429033347820,11 Jun 2007,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1950826,1950826,,"235 Lake Road, Northcote, Auckland, 0627
, New Zealand","235 Lake Road, Northcote, Auckland, 0627
, New Zealand",,,,,,,,,
12,3265788,9429031223256,14 Feb 2011,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco3265788,3265788,,"Level 12, 17 Albert Street, Auckland, 1010
, New Zealand","Level 12, 17 Albert Street, Auckland, 1010
, New Zealand",,,,,,,,,
13,3074328,9429031408493,09 Sep 2010,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco3074328,3074328,,"Shop 4, G08, 239 Queen Street, Auckland Central, Auckland, 1010
, New Zealand","Shop 4, G08, 239 Queen Street, Auckland Central, Auckland, 1010
, New Zealand",,,,,,,,,
14,4407018,9429030258952,17 Apr 2013,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco4407018,4407018,,"305 Pakura Street, Te Awamutu, Te Awamutu, 3800
, New Zealand","305 Pakura Street, Te Awamutu, Te Awamutu, 3800
, New Zealand",,,,,,,,,
15,122531,9429031988018,04 Feb 1947,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco122531,122531,,"195a Ashgrove Terrace, Christchurch 2
, New Zealand",,,,,,,,,,
16,3729667,9429030785502,17 Feb 2012,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco3729667,3729667,,"390c Richardson Road, Mount Roskill, Auckland, 1041
, New Zealand","390c Richardson Road, Mount Roskill, Auckland, 1041
, New Zealand",,,,,,,,,
