,Company number:,NZBN:,Incorporation Date:,Company Status:,Entity type:,Constitution filed:,Ultimate holding company,Directors,Company record link:,company_id,address.Registered office address,address.Registered Office,address.Address for service,FRA Reporting Month:,Country of Origin:,address.Principal place of business in NZ,address.Address of person authorised to accept service in NZ,ACN Number:
0,824324,9429038247309,05 Sep 1996,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco824324,824324,,"134 Arran Road, Browns Bay, Auckland
, New Zealand","134 Arran Road, Browns Bay, Auckland
, New Zealand",,,,,
1,1110390,9429037036850,12 Jan 2001,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1110390,1110390,,"Level 18, Asb Bank Centre, 135 Albert Street, Auckland
, New Zealand","Level 18, Asb Bank Centre, 135 Albert Street, Auckland
, New Zealand",,,,,
2,3150746,9429031361736,05 Oct 2010,Removed,NZ Limited Company,Yes,No,Showing 2 of 5 directors,httpsapp.companiesoffice.govt.nzco3150746,3150746,,"Level 2, Bell Gully Building, 40 Lady Elizabeth Lane, Wellington, Wellington, 6011
, New Zealand","Level 2, Bell Gully Building, 40 Lady Elizabeth Lane, Wellington, Wellington, 6011
, New Zealand",,,,,
3,1480281,9429035555957,20 Feb 2004,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1480281,1480281,,"52b, Redman Road, Rd3, Hunua, Papakura, Auckland
, New Zealand","52b, Redman Road, Rd3, Hunua, Papakura, Auckland
, New Zealand",,,,,
4,8212961,9429049507935,29 Jul 2021,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco8212961,8212961,,"12 Outlook Terrace, Silverdale, Silverdale, 0932
, New Zealand","12 Outlook Terrace, Silverdale, Silverdale, 0932
, New Zealand",,,,,
5,1201352,9429036549023,10 Apr 2002,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 3 directors,httpsapp.companiesoffice.govt.nzco1201352,1201352,,"5-11 Kent Street, Newmarket, Auckland, 1023
, New Zealand","5-11 Kent Street, Newmarket, Auckland, 1023
, New Zealand",,,,,
6,2214126,9429032373707,06 Mar 2009,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco2214126,2214126,,"8 Clifford Road, Wakefield, Wakefield, 7025
, New Zealand","8 Clifford Road, Wakefield, Wakefield, 7025
, New Zealand",,,,,
7,7147315,9429047198920,20 Dec 2018,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco7147315,7147315,,"8 Maungarei Road, Remuera, Auckland, 1050
, New Zealand","8 Maungarei Road, Remuera, Auckland, 1050
, New Zealand",,,,,
8,2243211,9429032255560,11 May 2009,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2243211,2243211,,"35 Greenstone Pl, Manukau
, New Zealand","35 Greenstone Pl, Manukau
, New Zealand",,,,,
9,882513,9429037968816,29 Oct 1997,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco882513,882513,,"14 Rempstone Drive, Halswell, Christchurch
, New Zealand","14 Rempstone Drive, Halswell, Christchurch
, New Zealand",,,,,
10,8088157,9429048541091,13 Aug 2020,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco8088157,8088157,,"Level 26 181 Quay St, Auckland, 1010
, New Zealand","Level 26 181 Quay St, Auckland, 1010
, New Zealand",,,,,
11,848765,9429038129353,14 Mar 1997,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco848765,848765,,"Level 1, 242 Queen Street, Auckland
, New Zealand","Level 1, 242 Queen Street, Auckland
, New Zealand",,,,,
12,1110391,9429037036898,12 Jan 2001,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1110391,1110391,,"Level 18, Asb Bank Centre, 135 Albert Street, Auckland
, New Zealand","Level 18, Asb Bank Centre, 135 Albert Street, Auckland
, New Zealand",,,,,
13,1922863,9429033519739,16 Apr 2007,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1922863,1922863,,"Level 6, 57 Symonds Street, Grafton, Auckland, 1010
, New Zealand","Level 6, 57 Symonds Street, Grafton, Auckland, 1010
, New Zealand",,,,,
14,616820,9429038744204,26 Jan 1994,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco616820,616820,,"52 Rosebank Road, Avondale, Auckland
, New Zealand","52 Rosebank Road, Avondale, Auckland
, New Zealand",,,,,
15,1370343,9429035836179,07 Aug 2003,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1370343,1370343,,"4/19 George Street, Riccarton, Christchurch
, New Zealand","4/19 George Street, Riccarton, Christchurch
, New Zealand",,,,,
16,5981723,9429042327813,02 May 2016,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco5981723,5981723,,"Yaping Liao, 195 Chelsea View Drive, Chatswood, Auckland, 0626
, New Zealand","Yaping Liao, 195 Chelsea View Drive, Chatswood, Auckland, 0626
, New Zealand",,,,,
