,Company number:,NZBN:,Incorporation Date:,Company Status:,Entity type:,Constitution filed:,Ultimate holding company,Directors,Company record link:,company_id,address.Registered office address,address.Registered Office,address.Address for service,FRA Reporting Month:,Country of Origin:,address.Principal place of business in NZ,address.Address of person authorised to accept service in NZ,ACN Number:,Receiver:,Organisation:,Phone:,Email:,Appointed:,Brief description of propertyin receivership:,Reports
0,1040050,9429037237424,02 Jun 2000,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1040050,1040050,,"E A Angelo (c A), 1st Floor, Tai Tokerau Building, 5 Hunt Street, Whangarei
, New Zealand","E A Angelo (c A), 1st Floor, Tai Tokerau Building, 5 Hunt Street, Whangarei
, New Zealand",,,,,,,,,,,,
1,936858,9429037706272,07 Dec 1998,Removed,NZ Limited Company,No,Not specified,Showing 2 of 4 directors,httpsapp.companiesoffice.govt.nzco936858,936858,,"C/- Dr. R. Vara, Kerrytown Road, R D 4, Timaru
, New Zealand","C/- Dr. R. Vara, Kerrytown Road, R D 4, Timaru
, New Zealand",,,,,,,,,,,,
2,5830461,9429042023593,14 Oct 2015,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco5830461,5830461,,"Alireza Mohammadi, Flat 3f, 3 Atawhai Lane, Mount Albert, Auckland, 1022
, New Zealand","Alireza Mohammadi, Flat 3f, 3 Atawhai Lane, Mount Albert, Auckland, 1022
, New Zealand",,,,,,,,,,,,
3,1880450,9429033779973,19 Dec 2006,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1880450,1880450,,"23 Rohi Place, Flat Bush, Auckland, 2019
, New Zealand","23 Rohi Place, Flat Bush, Auckland, 2019
, New Zealand",,,,,,,,,,,,
4,65342,9429040668727,04 Oct 1963,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco65342,65342,,"Cox Arcus & Co, 3rd Floor 35 Albert St, Auckland 1
, New Zealand",,,,,,,,,,,,,
5,1566617,9429035131786,09 Nov 2004,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1566617,1566617,,"132 Sierra Way, Rd 1, Upper Hutt, 5371
, New Zealand","132 Sierra Way, Rd 1, Upper Hutt, 5371
, New Zealand",,,,,,,,,,,,
6,111608,9429032129281,25 Jun 1981,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco111608,111608,,"Official Assignee, 6th Floor, 3 Kingston Street, Auckland
, New Zealand",,,,,,,,,,,,,
7,6278335,9429046112255,08 May 2017,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco6278335,6278335,,"121 Carruth Road, Papatoetoe, Auckland, 2025
, New Zealand","121 Carruth Road, Papatoetoe, Auckland, 2025
, New Zealand",,,,,,,,,,,,
8,1953575,9429033329024,13 Jun 2007,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1953575,1953575,,"2 Ander Pl, Takapuna, North Shore
, New Zealand","2 Ander Pl, Takapuna, North Shore
, New Zealand",,,,,,,,,,,,
9,1108676,9429037044008,21 Dec 2000,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1108676,1108676,,"Ingham Mora Limited, 9 Prince Avenue, Mount Maunganui
, New Zealand","Ingham Mora Limited, 9 Prince Avenue, Mount Maunganui
, New Zealand",,,,,,,,,,,,
10,3016221,9429031471633,12 Jul 2010,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco3016221,3016221,,"Metro Advances Ltd, 334 Madras Street, Christchurch Central, Christchurch, 8013
, New Zealand","Metro Advances Ltd, 334 Madras Street, Christchurch Central, Christchurch, 8013
, New Zealand",,,,,,,,,,,,
11,7899356,9429047969711,28 Feb 2020,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco7899356,7899356,,"Atif Rahim, 51 Ferguson Street, Awapuni, Palmerston North, 4412
, New Zealand","Atif Rahim, 51 Ferguson Street, Awapuni, Palmerston North, 4412
, New Zealand",,,,,,,,,,,,
12,8320324,9429050377152,10 Mar 2022,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco8320324,8320324,,"MURDOCH PRICE LTD, 277 Te Irirangi Drive, Botany Junction, Manukau City, 2164
, New Zealand","MURDOCH PRICE LTD, 277 Te Irirangi Drive, Botany Junction, Manukau City, 2164
, New Zealand",,,,,,,,,,,,
13,1281194,9429036097807,06 Mar 2003,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1281194,1281194,,"Level 2, Bdo House, 116 Harris Road, East Tamaki, Auckland
, New Zealand","Level 2, Bdo House, 116 Harris Road, East Tamaki, Auckland
, New Zealand",,,,,,,,,,,,
14,1052837,9429037184032,31 Jul 2000,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1052837,1052837,,"Macalister Todd Phillips Bodkins, O'connell's Pavilion, Camp Street, Queenstown
, New Zealand","Macalister Todd Phillips Bodkins, O'connell's Pavilion, Camp Street, Queenstown
, New Zealand",March,,,,,,,,,,,
15,8354338,9429050520466,22 Apr 2022,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco8354338,8354338,,"AbdulRaoof, 3242 Great North Road, New Lynn, Auckland, 0600
, New Zealand","AbdulRaoof, 3242 Great North Road, New Lynn, Auckland, 0600
, New Zealand",,,,,,,,,,,,
