,Company number:,NZBN:,Incorporation Date:,Company Status:,Entity type:,Constitution filed:,Ultimate holding company,Directors,Company record link:,company_id,address.Registered office address,address.Registered Office,address.Address for service,FRA Reporting Month:,Country of Origin:,address.Principal place of business in NZ,address.Address of person authorised to accept service in NZ,Receiver:,Organisation:,Phone:,Email:,Appointed:,Brief description of propertyin receivership:,Reports,address.Type of entity,Status:,Reports:,ACN Number:
0,2298479,9429032049817,22 Sep 2009,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco2298479,2298479,,"9 Lawson Way, Weymouth, Manukay 2103
, New Zealand","9 Lawson Way, Weymouth, Manukay 2103
, New Zealand",,,,,,,,,,,,,,,
1,1580415,9429035061274,16 Dec 2004,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1580415,1580415,,"3b/42 Cable Street, Te Aro, Wellington
, New Zealand","3b/42 Cable Street, Te Aro, Wellington
, New Zealand",,,,,,,,,,,,,,,
2,2121912,9429032782660,30 Apr 2008,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco2121912,2121912,,"40 Keegan Drive, Massey, Auckland, 0614
, New Zealand","40 Keegan Drive, Massey, Auckland, 0614
, New Zealand",,,,,,,,,,,,,,,
3,3363930,9429031127615,28 Apr 2011,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco3363930,3363930,,"208a/1, Lumsden Road, Hastings, 4211
, New Zealand","208a/1, Lumsden Road, Hastings, 4211
, New Zealand",,,,,,,,,,,,,,,
4,37876,9429040781754,22 Jun 1981,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco37876,37876,,"135 Victoria Street, Wellington
, New Zealand",,,,,,,,,,,,,,,,
5,1931909,9429033461854,11 Apr 2007,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1931909,1931909,,"Hartnell Grond Walker, 6 Redan Road, Kaitaia, Kaitaia, 0410
, New Zealand","Hartnell Grond Walker, 6 Redan Road, Kaitaia, Kaitaia, 0410
, New Zealand",,,,,,,,,,,,,,,
6,4936099,9429041079928,03 Mar 2014,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco4936099,4936099,,"Level 27, 188 Quay Street, Auckland Central, Auckland, 1010
, New Zealand","Level 27, 188 Quay Street, Auckland Central, Auckland, 1010
, New Zealand",March,,,,,,,,,,,,,,
7,74746,9429040620602,24 Jun 1968,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco74746,74746,,"5th Floor Reserve Bank Building, 67 Customs St,east, Auckland
, New Zealand",,,,,,,,,,,,,,,,
8,1192828,9429036600687,28 Feb 2002,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1192828,1192828,,"Whk South, 173 Spey Street, Invercargill, 9810
, New Zealand","Whk South, 173 Spey Street, Invercargill, 9810
, New Zealand",,,,,,,,,,,,,,,
9,1636421,9429034757444,17 May 2005,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1636421,1636421,,"Heather Barr, 1112a Orini Road, Rd 2, Taupiri, 3792
, New Zealand","Heather Barr, 1112a Orini Road, Rd 2, Taupiri, 3792
, New Zealand",,,,,,,,,,,,,,,
10,1448098,9429035664383,23 Dec 2003,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1448098,1448098,,"36 Munroe Street, Napier, Napier, 4110
, New Zealand","36 Munroe Street, Napier, Napier, 4110
, New Zealand",,,,,,,,,,,,,,,
11,826092,9429038240195,19 Sep 1996,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco826092,826092,,"51 Fairfax Street, Murchison, 7007
, New Zealand","51 Fairfax Street, Murchison, 7007
, New Zealand",,,,,,,,,,,,,,,
12,5749227,9429041858325,21 Jul 2015,Removed,NZ Limited Company,No,No,Showing 2 of 3 directors,httpsapp.companiesoffice.govt.nzco5749227,5749227,,"76, Mountbatten Ave, Hillcrest, Auckland, 0627
, New Zealand","76, Mountbatten Ave, Hillcrest, Auckland, 0627
, New Zealand",,,,,,,,,,,,,,,
13,1459203,9429035646150,12 Dec 2003,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1459203,1459203,,"189 Airfield Rd, Rd2, Papakura, 2582
, New Zealand","189 Airfield Rd, Rd2, Papakura, 2582
, New Zealand",,,,,,,,,,,,,,,
14,1695996,9429034540039,20 Sep 2005,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1695996,1695996,,"BDO Central (NI) Limited, 32 Amesbury Street, Palmerston North, 4410
, New Zealand","BDO Central (NI) Limited, 32 Amesbury Street, Palmerston North, 4410
, New Zealand",,,,,,,,,,,,,,,
15,4467820,9429030197367,04 Jun 2013,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco4467820,4467820,,"Unit 14, 1 Jervois Road, Herne Bay, Auckland, 1011
, New Zealand","Unit 14, 1 Jervois Road, Herne Bay, Auckland, 1011
, New Zealand",,,,,,,,,,,,,,,
16,4101158,9429030450585,27 Nov 2012,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco4101158,4101158,,"NICOLL JACKSON CHARTERED ACCOUNTANTS, 10 Maheke Street, Saint Heliers, Auckland, 1071
, New Zealand","NICOLL JACKSON CHARTERED ACCOUNTANTS, 10 Maheke Street, Saint Heliers, Auckland, 1071
, New Zealand",,,,,,,,,,,,,,,
17,8660686,9429051193829,16 Mar 2023,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco8660686,8660686,,"Hendrik Joubert, 17 Clarkson Crescent, Maunu, Whangarei, 0110
, New Zealand","Hendrik Joubert, 17 Clarkson Crescent, Maunu, Whangarei, 0110
, New Zealand",,,,,,,,,,,,,,,
18,177683,9429040144542,15 Feb 1954,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco177683,177683,,"C/o Kirk Barclay, Third Floor Nzi Building, 507 Lake Rd, Takapuna
, New Zealand","-
, New Zealand",,,,,,,,,,,,,,,
19,6022556,9429042406419,14 Jun 2016,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco6022556,6022556,,"L5, Tower One, 205 Queen Street, Auckland Central Auckland, 1010
, New Zealand","L5, Tower One, 205 Queen Street, Auckland Central Auckland, 1010
, New Zealand",,,,,,,,,,,,,,,
20,6266253,9429046070401,13 Apr 2017,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco6266253,6266253,,"76a Brian Crescent, Stanmore Bay, Whangaparaoa, 0932
, New Zealand","76a Brian Crescent, Stanmore Bay, Whangaparaoa, 0932
, New Zealand",,,,,,,,,,,,,,,
21,1514999,9429035385561,14 May 2004,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1514999,1514999,,"C/o Adele M Maraki Chartered Accountant, 81 Mihi Road, Okaihau
, New Zealand","C/o Adele M Maraki Chartered Accountant, 81 Mihi Road, Okaihau
, New Zealand",,,,,,,,,,,,,,,
22,5486485,9429041458594,17 Oct 2014,Removed,NZ Limited Company,Yes,No,Showing 2 of 3 directors,httpsapp.companiesoffice.govt.nzco5486485,5486485,,"feifei chen, 40 Evelyn Place, Hillcrest, Auckland, 0627
, New Zealand","feifei chen, 40 Evelyn Place, Hillcrest, Auckland, 0627
, New Zealand",,,,,,,,,,,,,,,
23,1573210,9429035096795,10 Nov 2004,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1573210,1573210,,"Level 18, Asb Bank Centre, 135 Albert Street
, New Zealand","Level 18, Asb Bank Centre, 135 Albert Street
, New Zealand",,,,,,,,,,,,,,,
24,6085150,9429042516835,16 Aug 2016,Removed,NZ Limited Company,No,ARMOURED PRODUCTION LIMITED,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco6085150,6085150,,"Flat 503, 9 Hopetoun Street, Freemans Bay, Auckland, 1011
, New Zealand","Flat 503, 9 Hopetoun Street, Freemans Bay, Auckland, 1011
, New Zealand",,,,,,,,,,,,,,,
25,3327852,9429031168458,30 Mar 2011,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco3327852,3327852,,"Asb Bank Centre Level 18, 135 Albert Street, Auckland,  1010
, New Zealand","Asb Bank Centre Level 18, 135 Albert Street, Auckland,  1010
, New Zealand",,,,,,,,,,,,,,,
26,1862353,9429033885148,06 Sep 2006,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1862353,1862353,,"40 Chalmers Rd, Gisborne
, New Zealand","40 Chalmers Rd, Gisborne
, New Zealand",,,,,,,,,,,,,,,
27,5261901,9429041258149,09 Jun 2014,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco5261901,5261901,,"3 Wyoming Avenue, Murrays Bay, Auckland, 0630
, New Zealand","Unit F, 241 Rosedale Rd, Albany, Auckland, 0632
, New Zealand",,,,,,,,,,,,,,,
28,6892174,9429046860149,25 Jun 2018,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco6892174,6892174,,"NEXGEN ACCOUNTING LIMITED, Level 3, 6 Kingdon Street, Newmarket, Auckland, 1023
, New Zealand","NEXGEN ACCOUNTING LIMITED, Level 3, 6 Kingdon Street, Newmarket, Auckland, 1023
, New Zealand",,,,,,,,,,,,,,,
29,5620951,9429041637388,25 Mar 2015,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco5620951,5620951,,"Suite 307, 23 Hargreaves Street, Auckland Central, Auckland, 1011
, New Zealand","Suite 307, 23 Hargreaves Street, Auckland Central, Auckland, 1011
, New Zealand",,,,,,,,,,,,,,,
30,3347830,9429031146005,07 Apr 2011,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco3347830,3347830,,"Palm Beach Post Shop, Shop 3, Palm Beach Plaza, 7 Gravatt Road, Papamoa, 3118
, New Zealand","Palm Beach Post Shop, Shop 3, Palm Beach Plaza, 7 Gravatt Road, Papamoa, 3118
, New Zealand",,,,,,,,,,,,,,,
