,Company number:,NZBN:,Incorporation Date:,Company Status:,Entity type:,Constitution filed:,Ultimate holding company,Directors,Company record link:,company_id,address.Registered office address,address.Registered Office,address.Address for service,FRA Reporting Month:,Country of Origin:,address.Principal place of business in NZ,address.Address of person authorised to accept service in NZ,Receiver:,Organisation:,Phone:,Email:,Appointed:,Brief description of propertyin receivership:,Reports,Appointed By:
0,341371,9429039618184,14 Apr 1987,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco341371,341371,,"6a Vine Street,, Maungatapu,, Tautanga.
, New Zealand",,,,,,,,,,,,,
1,145946,9429040314839,24 May 1960,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco145946,145946,,"1st Floor 17 Albert St, Auckland
, New Zealand","-
, New Zealand",,,,,,,,,,,,
2,118702,9429032017175,18 Mar 1952,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco118702,118702,,"C/o Winstanley Kerridge, 22 Scott Street, Blenheim
, New Zealand",,,,,,,,,,,,,
3,5661828,9429041686829,08 Apr 2015,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco5661828,5661828,,"45 Bayview Road, Bayview, Auckland, 0629
, New Zealand","45 Bayview Road, Bayview, Auckland, 0629
, New Zealand",,,,,,,,,,,,
4,7716,9429040952345,13 Jun 1952,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco7716,7716,,"32 Taonui Street, Palmerston North
, New Zealand",,,,,,,,,,,,,
5,729,9429040974439,24 Apr 1907,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 3 directors,httpsapp.companiesoffice.govt.nzco729,729,,"The Offices Of Kendons, Chartered Accountants Ltd, 69 Rutherford Street, Lower Hutt 5010
, New Zealand","The Offices Of Kendons, Chartered Accountants Ltd, 69 Rutherford Street, Lower Hutt 5010
, New Zealand",,,,,,,,,,,,
6,1177928,9429036684656,04 Dec 2001,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1177928,1177928,,"12 Floor, Cl- Pricewaterhousecoopers, 113-119 The Terrace, Wellington
, New Zealand","12 Floor, Pricewaterhousecoopers, 113-119 The Terrace, Wellington
, New Zealand",,,,,,,,,,,,
7,46189,9429040738710,25 Jul 1947,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco46189,46189,,"292 Point View Drive, R D 1 Papatoetoe, Auckland
, New Zealand","292 Point View Drive, R D 1 Papatoetoe, Auckland
, New Zealand",,,,,,,,,,,,
8,881097,9429037975876,24 Oct 1997,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco881097,881097,,"Staples Rodway Waikato Ltd, Wel House, 5th Floor, Corner London & Victoria, Streets, Hamilton
, New Zealand","Staples Rodway Waikato Ltd, 5th Floor, Wel House, Corner London & Victoria, Streets, Hamilton
, New Zealand",,,,,,,,,,,,
9,1049416,9429037194802,24 Jul 2000,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1049416,1049416,,"Unit 1, 178 Willis Street, Wellington Central, Wellington, 6011
, New Zealand","Unit 1, 178 Willis Street, Wellington Central, Wellington, 6011
, New Zealand",,,,,,,,,,,,
10,20808,9429040893983,28 Mar 1968,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco20808,20808,,"29 Kings Crescent, Po Box 30-278, Lower Hutt
, New Zealand","29 Kings Crescent, Po Box 30-278, Lower Hutt
, New Zealand",,,,,,,,,,,,
11,1490473,9429035497417,19 Mar 2004,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1490473,1490473,,"Hammond & Moir, 13 Alexandra Street, Te Awamutu
, New Zealand","Hammond & Moir, 13 Alexandra Street, Te Awamutu
, New Zealand",,,,,,,,,,,,
12,64203,9429040671673,04 Feb 1963,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco64203,64203,,"Carlton Hse, 5-9 Carlton Gore Rd, Grafton, Auckland 1
, New Zealand",,,,,,,,,,,,,
13,1849993,9429033954417,02 Aug 2006,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1849993,1849993,,"11 Icarus Place, Sunnybrook, Rotorua, 3015
, New Zealand","11 Icarus Place, Sunnybrook, Rotorua, 3015
, New Zealand",,,,,,,,,,,,
14,60359,9429040686684,27 Sep 1960,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco60359,60359,,"Mcelroy Dutt & Thomson, Level 2, 161 Manukau Road, Epsom, Auckland
, New Zealand","Mcelroy Dutt & Thomson, Level 2, 161 Manukau Road, Epsom, Auckland
, New Zealand",,,,,,,,,,,,
15,297562,9429039760111,21 Mar 1986,Removed,NZ Limited Company,Yes,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco297562,297562,,"Mcgreevy & Associates Ltd, 1 Puketapu Road, Taradale, Napier, 4112
, New Zealand","Mcgreevy & Associates Ltd, 1 Puketapu Road, Taradale, Napier, 4112
, New Zealand",,,,,,,,,,,,
16,176731,9429040146164,03 Jan 1952,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco176731,176731,,"18 Industry Road, Penrose, Auckland 5
, New Zealand",,,,,,,,,,,,,
17,2157365,9429032634136,24 Jul 2008,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2157365,2157365,,"33 Bellona Street, Saint Kilda, Dunedin, 9012
, New Zealand","33 Bellona Street, Saint Kilda, Dunedin, 9012
, New Zealand",,,,,,,,,,,,
